"","Canonical","NonCanonical","Atypical"
"1","DRGX","DRGX","CCDC185"
"2","LYPD4","MPPED1","LINC01553"
"3","MPPED1","GH1","EIF4E1B"
"4","LINC00965","LYPD4","LINC00567"
"5","LINC01107","HPD","LINC00592"
"6","RBPJL","TBC1D26","OR5J2"
"7","OR10G3","CATIP","HTR5A"
"8","SPATA31C2","NTSR2","XKR5"
"9","TSSK3","SSX5","FAM47C"
"10","C1orf94","LINC01107","LINC00290"
"11","TGM7","HYAL6P","PCDHA13"
"12","SLC13A4","OR51L1","PPP3R2"
"13","TBC1D26","CHST10","OR4F6"
"14","GSTTP2","LINC00928","NANOGNB"
"15","LOC440300","ICOSLG","LINC00298"
"16","HPD","OR2A5","BPY2B"
"17","OR1F1","LOC101928953","WNT8B"
"18","GABRR3","GNMT","LINC00272"
"19","NTSR2","SPATA31C2","MEPE"
"20","THRSP","PGK2","DMP1"
"21","CSHL1","SLC13A4","OR56A5"
"22","MUC7","OR1F1","WSCD2"
"23","LINC01620","TMEM262","OR13G1"
"24","BMP15","LOC102724804","PAPPA2"
"25","YIPF7","LINC00965","OR52E4"
"26","ODAD1","SIGLEC11","GCM2"
"27","ATP2B3","JUN.DT","SLC2A13"
"28","SYCP1","LINC01620","TEX19"
"29","ANKRD53","LINC01973","MAGEB6"
"30","SLITRK1","NR2E1","LINC00244"
"31","OR2A5","GABRR3","MIR31HG"
"32","DKFZp434L192","C1orf94","OR52E8"
"33","FBLN7","ODAD1","IGFL4"
"34","CHST10","C3orf20","COL4A6"
"35","TP53TG5","UCP1",NA
"36","IFT122P3","SLC22A7",NA
"37","RTP1","MYL11",NA
"38","SPMIP9","ANKRD33B",NA
"39","PLA2G2D","ASPDH",NA
"40","GPR149","TSSK3",NA
"41","EPHA10","CSHL1",NA
"42","GNMT","BOLL",NA
"43","LOC101928953","CALML6",NA
"44","LINC00475","MUC7",NA
"45","C3orf20","ATP2B3",NA
"46","MCCD1","STUM",NA
"47","ANKRD33B","CACNG8",NA
"48","TCTE1","SDK2",NA
"49","SDK2","POM121L8P",NA
"50","LOC284412","SLC24A5",NA
"51","CATIP","OR10G3",NA
"52","NAALADL2","PCAT4",NA
"53","NR2E1","LOC284412",NA
"54","BHLHA15","OR2Z1",NA
"55","CALML6","LCE3E",NA
"56","SNED1","SYCP1",NA
"57","MFSD2B","DKFZp434L192",NA
"58","MYL11","THRSP",NA
"59","NFE4","LRIT1",NA
"60","RLN3","SLITRK1",NA
"61","LRIT1","NAALADL2",NA
"62","LINC01973","ANKRD53",NA
"63","WFDC8","EPM2A",NA
"64","CACNG8","TPO",NA
"65","LINC00928","FAM47C",NA
"66","UPB1","RALYL",NA
"67","PRM1","CCDC185",NA
"68","ASPDH","CDX4",NA
"69","FGF6","ZC2HC1B",NA
"70","HYAL6P","THEM5",NA
"71","SEMA3G","LINC00671",NA
"72","CRHR1","KLHDC4",NA
"73","ACTR3BP2","NFE4",NA
"74","HTR6","GPR52",NA
"75","OR2Z1","OR52W1",NA
"76","TNNT3","OR4F6",NA
"77","FGF14.IT1","TNR",NA
"78","LCE3E","MGAT4EP",NA
"79","SCTR","EHBP1.AS1",NA
"80","RHO","C22orf23",NA
"81","CBARP","FABP9",NA
"82","ALPL","YIPF7",NA
"83","CHRM5","LINC01553",NA
"84","LCE1F","GSTTP2",NA
"85","MAGEE2","CRHR1",NA
"86","LINC00642","SLC22A12",NA
"87","H2AB2","ERN1",NA
"88","ADIPOQ","OR4C13",NA
"89","ANGPTL8","RTP1",NA
"90","ZC2HC1B","LCN1",NA
"91","GALNT17","AOC4P",NA
"92","TPO","CBARP",NA
"93","KIRREL3.AS3","ST7.AS2",NA
"94","GIP","TEKTIP1",NA
"95","SLC22A11","SELENOV",NA
"96","SLC24A5","LMX1B",NA
"97","LOC102724804","MCCD1",NA
"98","ACP4","KCNQ1DN",NA
"99","CLPSL1","LMX1A",NA
"100","MAGEC1","MFSD2B",NA
"101","GRID2","OR5AN1",NA
"102","OR2H2","FOXN3.AS2",NA
"103","LMX1A","IFT122P3",NA
"104","LPA","CLCNKA",NA
"105","POM121L8P","SCTR",NA
"106","SNHG25","LINC00298",NA
"107","SHISA6","GPR75",NA
"108","ART1","AMHR2",NA
"109","MOXD2P","MRGPRD",NA
"110","SLC22A12","ABCB5",NA
"111","KAAG1","OR51S1",NA
"112","CBLN4","TNNT3",NA
"113","DUXA","PRAMEF5",NA
"114","GPHA2","UPB1",NA
"115","SLC22A25","SNED1",NA
"116","LINC00632","VCX2",NA
"117","LTA","EIF4E1B",NA
