"","Canonical","NonCanonical","Atypical"
"146","ADCY6","RPS17","PLCD1"
"147","COA1","RPL11","MT1A"
"148","CA7","FLJ42393","RABAC1"
"149","SNAR-A3","H2AC15","RUNX1"
"150","TMEM14EP","SETD1B","EN2"
"151","EPOP","H2AC12","TEAD2"
"152","AFF1","RPL32","RPL36AP33"
"153","POLR2I","RPS11","SAMD4B"
"154","SPIB","DBI","FAU"
"155","KRT23","ARID1A","ORMDL2"
"156","SLC25A34","LAMTOR2","DYNLL1"
"157","RANBP1","GUK1","TMA7"
"158","OSR1","RPL23AP87","SIX1"
"159","CCT4","RPL26L1","PLS3"
"160","KIF5C","H2AC14","CDH3"
"161","HMGB3P1","RPL34","PCDH17"
"162","TP53INP2","MFF","CBX2"
"163","BEST4","NFATC3","RPL9"
"164","LINC00597","RNU12","QSOX2"
"165","MINDY4","RPS14","ATP5MC1"
"166","PLCE1","ATP5ME","SCARNA23"
"167","DSCAML1","RPS16","TBC1D24"
"168","BMAL2","RPL12P16","SCAF1"
"169","ANKRD39","ARL6IP4","P2RX4"
"170","MON2","RPS5","ATP5PD"
"171","MTHFR","COX7C","TSPAN9"
"172","PCSK2","COX5B","TMEM256"
"173","MCTS1","RPL29P2","PROX1"
"174","SEC14L5","MRPL55","XPO5"
"175","RHEBL1","NACA","GTF2IRD1"
"176","PTGR3","MRPS17","TFF3"
"177","TEAD4","RPLP0","GPR4"
"178","SMIM29","RPLP2","C1orf216"
"179","SON","EEF1B2","GNG5"
"180","SEM1","ATP5MC2","RPL34"
"181","ANGPTL7","RPS4X","GGN"
"182","TMEM9","TOMM7","XPOT"
"183","MRPL17","BOLA3","PPM1H"
"184","SIPA1L2","COX7A2","PFDN5"
"185","FMN2","NDUFA3","UBL5"
"186","RNASEH2B","KIAA0319L","GIPC1"
"187","TIMM17B","ZDHHC4","ENC1"
"188","HMGB1","RPS19","FUCA1"
"189","RNF152","TMSB10","TIMM8B"
"190","CLN8","EEF1G","SHD"
"191","DEF8","UQCR10","LOC645261"
"192","ASXL1","ZNF791","RPL10A"
"193","PRDX6-AS1","MRPS14","SPIB"
"194","AHCYL2","H2BC15","HSBP1L1"
"195","CMAHP","PSMD8","DDT"
"196","SCGN","METTL5","TMEM258"
"197","MRPS24","UQCC2","VWA1"
"198","GALR1","TIMM17B","SLC29A1"
"199","SMC5","RPL12","NOP10"
"200","NEDD4L","LSM5","DENND2A"
"201","ATP8B1","RPS10P7","RPL17"
"202","SNRPE","RPL19P12","ABCC1"
"203","APOBR","RPL36A","NDUFA3"
"204","RNF125","RPS27","ARHGAP29"
"205","SMAD2","UQCC5","LRRC26"
"206","HEXIM1","DKFZP586I1420","CENPJ"
"207","TMEM147","MRPL11","GRAMD1A"
"208","PDPN","RPL19","RPL11"
"209","GLDN","RPL9","NOVA2"
"210","LINC01315","PSMB3","CDC42EP5"
"211","TADA2B","SS18L2","IFT56"
"212","LSM5","MRPS33","UQCRH"
"213","FAP","RPS24","ZFTA"
"214","MEA1","SNORA73B","SMIM14"
"215","CBX2","DENR","RPS25"
"216","RPP40","RPL23P8","APLN"
"217","CPB1","NIT2","RPS13"
"218","ARMC10","NENF","TAF4"
"219","MIF","RPL8","KDR"
"220","BBLN","RPL41","ECT2"
"221","MRPL55","RPS18","SLC39A6"
"222","SCG2","EIF3H","RPL26"
"223","TUBB3","RPL37A","ANLN"
"224","CPEB2","TMEM14EP","OXTR"
"225","RBM47","SH3BP2","ASIC1"
"226","ABCA8","GEMIN6","NDUFB9"
"227","EPHX4","CUTA","DUSP26"
"228","OR51E2","PSMB7","LTBP4"
"229","SLF2","RPS20","USP49"
"230","CXCL12","RPL18A","UQCRB"
"231","GUK1","TCEANC2","LINC03040"
"232","KIF13B","HSPE1","CDH22"
"233","PLCXD3","SEC61G","ST3GAL2"
"234","PJA2","CCNQ","PLK1"
"235","NME2","ANKFY1","SMCO4"
"236","LINC02481","BAZ2A","BAG1"
"237","COL2A1","HINT1","ACAN"
"238","ZNF525","LAMTOR4","C5orf34"
"239","ELOC","RABGAP1","MT1M"
"240","POLR2G","SUMO2","S100A10"
"241","CACNA1A","COPZ1","COX6C"
"242","SNRPF","H2AC17","COL8A1"
"243","RUNDC3B","IAH1","CCNF"
"244","NLGN1","COX16","CIB1"
"245","ETV4","RPL18","RPL41"
"246","PSMB4","NDUFA2","NFE2L3"
"247","PAFAH1B3","RPL26","CFD"
"248","BIRC5","CREB1","NKD2"
"249","RSL1D1","LSM8","KLF7"
"250","PTPN21","RPL23","SLC22A3"
"251","TPH1","KDM6B","HCST"
"252","TRIP13","NDUFAF8","RAD54B"
"253","S100A11","UBR4","CELSR2"
"254","ABHD3","RUFY2","MTBP"
"255","CLNS1A","DYNLL1","MSX1"
"256","MIA3","MIF","ANKRD13B"
"257","DOP1B","UQCC3","FGFRL1"
"258","ZDHHC4","EDF1","SULT2B1"
"259","MZT1","RPL13A","MTSS2"
"260","VPS13D","RPL31","B2M"
"261","ATP2A3","RPS6","CD63"
