"","Canonical","NonCanonical","Atypical"
"146","DLX4","SYCE3","NTN3"
"147","MYOZ1","CIB3","OR2AT4"
"148","CPN2","OR10A3","GDF7"
"149","SPATA31H1","H2BC11","RPGRIP1"
"150","ASPDH","CACNA2D1","KCNJ4"
"151","CYSRT1","RFPL3","C5orf60"
"152","CDKL2","KRT35","PTX4"
"153","C12orf42","CFAP126","SYN2"
"154","OR2M7","GLIS2","SFTPB"
"155","APOBEC3H","ADORA3","OR8I2"
"156","VWC2L","SNORA19","CNTLN"
"157","SLC22A16","EXOC3L2","HSP90AB5P"
"158","ZIC3","POU5F2","PCDHB9"
"159","VCX2","PCMTD1","ZIC3"
"160","VWA5B2","ADRA1A","GP9"
"161","RLN3","SV2A","ZFHX2"
"162","FCRL5","OR6N2","IFNW1"
"163","TTTY12","APCS","PRDM14"
"164","SLC9C2","ZNF519","TLX3"
"165","SLC25A47","TEAD2","ZNF671"
"166","TMED2","LINC00315","DEFB114"
"167","TNFRSF8","FBXO25","CACNA2D1"
"168","GALP","ZNF671","UNC79"
"169","PDE6G","LAMB3","CFAP126"
"170","PCDHB9","FOXI3","PTCRA"
"171","CCDC27","MYBPC2","FBXO25"
"172","VWA7","HEPHL1","PDE6G"
"173","RDH8","PFAS","LIF"
"174","TMEM30B","RB1CC1","TEX13A"
"175","NPB","ABHD1","SEC1P"
"176","KIRREL3","ZNF677","OR2W5P"
"177","TMC2","AP3B2","RGS6"
"178","TBX6","C1orf127","TRIM50"
"179","NFE4","TCF23","BPIFA4P"
"180","C15orf40","CFAP276","VWA7"
"181","SYN1","SPACDR","IGFL3"
"182","OR6C70","LINC00473","LPA"
"183","SLC26A1","LINC00207","ALDOAP2"
"184","DEFB123","GTF2F2","LINC00268"
"185","PPBPP2","HTR3E","PRDM9"
"186","CACNG1","DUSP5","PLA2R1"
"187","FBXW10B","TCP10L3","GPIHBP1"
"188","RAB37","ZNF451","LRTM2"
"189","LHX3","CUL4A","VCX2"
"190","OPRPN","RASA2","ITGA10"
"191","PNLIPRP1","ZFHX2","PLEKHH2"
"192","OR8I2","SPATA6","NFIC"
"193","FGF6","HFE","URAHP"
"194","NUDT17","TTR","ADRA1A"
"195","LOC442028","NFATC3","HABP2"
"196","ATP5F1A","WBP4","OR56B1"
"197","UBE2L3","TMEM31","DNAH9"
"198","MAML1","OC90","FEV"
"199","PCDHA12","MDGA1","LRRC52"
"200","ADAMTS15","H2AC4","ATP6V0B"
