"","Canonical","NonCanonical","Atypical"
"178","SSX2","STOML3",NA
"179","RNASE11","ELOVL3",NA
"180","LCE4A","SPTA1",NA
"181","WFIKKN2","IL4I1",NA
"182","DBX1","SYNDIG1L",NA
"183","DLGAP2","UROC1",NA
"184","LDLRAD1","WNT10B",NA
"185","ADCY5","IL13",NA
"186","OTX2","CYP17A1",NA
"187","PRRX2","MAP1LC3C",NA
"188","ZNF233","LHX9",NA
"189","FGF13","FOXJ1",NA
"190","NAT16","NLRP4",NA
"191","RAG2","LINC01565",NA
"192","GARIN5B","BSX",NA
"193","SPDEF","SPATA3",NA
"194","ENTPD8","DLGAP2",NA
"195","CLXN","OR8B4",NA
"196","DGCR5","GSX2",NA
"197","PLPPR3","NTNG1",NA
"198","CHST9","EIF4E1B",NA
"199","OR2G2","LHX5",NA
"200","SAMD7","BOD1L2",NA
"201","GARIN3","CA4",NA
"202","IQSEC3","WFIKKN2",NA
"203","NTRK3","PCDHA6",NA
"204","PAX1","SCN2B",NA
"205","CADM3","SSX2",NA
"206","PRDM9","CPA2",NA
"207","TRIM46","SFTPB",NA
"208","ERBB4","CBS",NA
"209","UROC1","GPR101",NA
"210","COL2A1","ALDH1L1",NA
"211","ATP1B4","MOBP",NA
"212","LINC00114","SPANXN5",NA
"213","OTOR","NKPD1",NA
"214","PRL","DPP6",NA
"215","ASTN1","C12orf54",NA
"216","MCHR2","PRDM9",NA
"217","C12orf54","CHRNA9",NA
"218","SLC28A1","LRRC55",NA
"219","GDF10","CLEC4C",NA
"220","INMT","GAD2",NA
"221","GPR6","PRL",NA
"222","PROS1","MYT1L",NA
"223","PRSS55","NRG2",NA
"224","RNASE3","SARDH",NA
"225","GNAT1","MTUS2",NA
"226","GOLGA2P11","CADM2",NA
"227","MCF2","CCDC40",NA
"228","SFTPB","AJM1",NA
"229","TBX5","HTR5A",NA
"230","C5orf64","CCDC160",NA
"231","PPIB","PRX",NA
"232","HCN4","RGS8",NA
"233","PLCXD3","PRSS55",NA
"234","GREB1","ISG20",NA
"235","CRH","SNORA23",NA
"236","KIAA2012","ADCY1",NA
"237","RIPPLY1","CRIP2",NA
"238","SIX3","GSG1L",NA
"239","ADAM3A","SAG",NA
"240","LDB3","KLK2",NA
"241","C10orf90","GABRA5",NA
"242","FAM47B","SPOCK3",NA
"243","IL31","SLC6A19",NA
"244","ABCB11","CLXN",NA
"245","FOXJ1","RAG2",NA
"246","SPTA1","BTBD17",NA
"247","LRRTM3","GARIN3",NA
"248","PKD1L2","PHF24",NA
"249","RBFOX3","KLHL40",NA
"250","ADCY1","GSDMC",NA
"251","CD180","DENND2A",NA
"252","ABCA4","SLC6A15",NA
"253","LINC00161","CCDC85A",NA
"254","MAGEB10","CACNG6",NA
"255","MOBP","DPYSL5",NA
"256","SHISAL2A","RNASE13",NA
"257","ALDH1L1","SLC25A41",NA
"258","GAS2L2","PRRX2",NA
"259","LNCRI","PYGM",NA
"260","MOG","GNAT1",NA
"261","OR6B2","DGCR5",NA
"262","SLC22A16","HELT",NA
"263","SLC6A19","CHSY3",NA
"264","CLEC1B","HAPLN2",NA
"265","ATP2B2","PMCHL1",NA
"266","CELA3B","OTX2",NA
"267","CA4","CATIP",NA
"268","TCL6","C10orf90",NA
"269","C2orf50","RXRG",NA
"270","SLITRK5","SSTR4",NA
"271","DKKL1","BMP15",NA
"272","CFAP74","VWA3B",NA
"273","SLC25A34","WNT7A",NA
"274","VAX1","KLK14",NA
"275","VWDE","TRIM46",NA
"276","CXorf66","IFNA6",NA
"277","MTUS2","WFDC9",NA
"278","SPANXN3","PRDM12",NA
"279","ABCA6","RAB39B",NA
"280","OR1F1","OR2G2",NA
"281","GSG1L","NEUROD4",NA
"282","KASH5","C10orf53",NA
"283","RIC3","ATRNL1",NA
"284","GPR26","HRH3",NA
"285","CDH8","USP2",NA
"286","CACNA1I","KCNC1",NA
"287","B3GNT6","KCNG1",NA
"288","RNF17","ENTPD8",NA
"289","TRDN","CYLC1",NA
"290","TFAP2B","PAX3",NA
"291","LHX5","OR4C11",NA
"292","GPR101","FGF13",NA
"293","PIWIL3","XKR4",NA
"294","LHFPL1","HCN4",NA
"295","VGLL2","SLC6A11",NA
"296","SP7","TCL6",NA
"297","CLEC4C","PRSS50",NA
"298","FOXN4","CILP2",NA
"299","KCNC1","CNTN2",NA
"300","SMR3A","SLC25A34",NA
"301","HTR5A","ENTHD1",NA
"302","CHD5","LINC00700",NA
"303","SPATA3","CDH16",NA
"304","NRG2","ERBB4",NA
"305","RPE65","TBX5",NA
"306","ADGRV1","IL31",NA
"307","SERPINA11","VGLL2",NA
"308","SYNDIG1L","GABRD",NA
"309","ELSPBP1","OR4D1",NA
"310","SYT6","PRSS45P",NA
"311","BPIFA4P","TFAP2B",NA
"312","SLC34A2","KCNJ14",NA
"313","CYP4F22","PYY2",NA
"314","IGFN1","TUB",NA
"315","TUB","ADIG",NA
"316","TRIM67","ATP5MK",NA
"317","SDR9C7","ELAVL4",NA
"318","NMBR","RAD21L1",NA
"319","NAT8","PPP6R1",NA
"320","C9","TGM5",NA
"321","POM121L2","CHST9",NA
"322","CCDC40","APOF",NA
"323","PRSS21","INSRR",NA
"324","OR2A12","GPR6",NA
"325","RHAG","TEKT1",NA
"326","FAM135B","GPR55",NA
"327","MGAT5B","REXO1L1P",NA
"328","MS4A10","TMEM132E",NA
"329","TEKTL1","POU2F2",NA
"330","DIRAS2","ZNF556",NA
"331","RGS8","CUX2",NA
"332","SAG","OR7G3",NA
"333","FAM24A","CCDC63",NA
"334","HELT","SPEM1",NA
"335","BTBD17","GRID2IP",NA
"336","FRMPD1","OR5P2",NA
"337","CACNG6","FEZF2",NA
"338","PCDHA6","PAX1",NA
"339","SLC17A6","A4GNT",NA
"340","DPYSL5","PRODH2",NA
"341","ATRNL1","CRH",NA
"342","GALNTL6","SAMD7",NA
"343","MST1L","FRMPD4",NA
"344","PRSS50","CHCT1",NA
"345","PCDHA11","LCN10",NA
"346","OR11G2","OR9G1",NA
"347","ADAM30","CADM3",NA
"348","TERB1","FAM167A",NA
"349","PCSK2","TMEM114",NA
"350","HRH3","FGF5",NA
"351","CD300LD","MGAT5B",NA
"352","HEATR9","CFAP54",NA
"353","RD3","DCLK1",NA
"354","KLHL40","TRAPPC3L",NA
"355","TEKT1","NOTO",NA
"356","AFF2","LINC00272",NA
"357","ZFP42","LINC00313",NA
"358","MBD3L1","OR4E2",NA
"359","GCM2","CLRN1",NA
"360","GSX2","HTN1",NA
"361","IRS4","RASIP1",NA
"362","OR2M4","OR2M3",NA
"363","CHCT1","FSD1",NA
"364","WNT7B","SLC45A1",NA
"365","IGSF5","DNAAF1",NA
"366","CHIT1","TMEM95",NA
"367","KHDRBS2","MAPT",NA
"368","LRRC7","MBD3L1",NA
"369","NDST4","PKD1L2",NA
"370","SEZ6L","SLITRK5",NA
"371","ZYG11A","TEX44",NA
"372","BIRC8","ENPP7",NA
"373","BHMT","SPMAP1",NA
"374","TRIM61","NAT8",NA
"375","SNTG1","FRMPD1",NA
"376","MRGPRX1","KCND2",NA
"377","TRH","PI16",NA
"378","HPN","YJEFN3",NA
"379","KCNA7","SHISAL2A",NA
"380","RHOXF1","LDLRAD1",NA
"381","KCNH7","LINC00598",NA
"382","CD79B","VWDE",NA
"383","NANOGNB","LDB3",NA
"384","KCND2","HAS1",NA
"385","SLC26A4","CST6",NA
"386","STOML3","NEUROG1",NA
"387","MYOC","CYP4B1",NA
"388","PAEP","OTOR",NA
"389","OR4D1","CDH10",NA
"390","HOXB1","GRM2",NA
"391","OR1M1","C2orf50",NA
"392","MAGEA8","RPE65",NA
"393","MAPT","NYAP2",NA
"394","ARHGAP36","KCNIP1",NA
"395","LINC00700","DCD",NA
"396","CHRNA9","CSAG1",NA
"397","CYP4B1","OR1F1",NA
"398","PCDH11Y","OR1C1",NA
"399","OR5P2","DACH2",NA
"400","OR12D3","HEATR9",NA
"401","CMA1","PGLYRP3",NA
"402","NEUROD2","SPDEF",NA
"403","CUX2","AIPL1",NA
"404","MARCHF11","PRSS42P",NA
"405","HEMGN","MST1L",NA
"406","GRM2","TRH",NA
"407","PAX3","SMR3A",NA
"408","PRDM12","TSPAN16",NA
"409","CLRN1","RNF180",NA
"410","ERICH3","KRT7",NA
"411","TECTB","PAX2",NA
"412","C12orf71","FAM131B",NA
"413","ENTHD1","CHIT1",NA
"414","CFAP144","KCNN1",NA
"415","SOX21","VTCN1",NA
"416","CFAP206","AQP6",NA
"417","GABRG3","MCHR2",NA
"418","CCKBR","RBFOX3",NA
"419","TEX35","PRELP",NA
"420","PRSS42P","SLC1A2",NA
"421","UNC45B","AJAP1",NA
"422","XKR4","RLN3",NA
"423","SAMD15","CFAP74",NA
"424","VSTM2A","STK32B",NA
"425","TEX14","PCSK2",NA
"426","PYY2","KCNF1",NA
"427","PHF24","PIWIL3",NA
"428","PIK3C2G","IL4",NA
"429","NELL1","OR5H14",NA
"430","EWSAT1","SNTG2",NA
"431","COLGALT2","TDRD12",NA
"432","INSRR","HOXD12",NA
"433","TGM5","TMEM130",NA
"434","CATSPER1","CNTFR",NA
"435","ZNF365","SLC26A4",NA
"436","KCNIP1","IRS4",NA
"437","IL36A","POM121L2",NA
"438","NRG3","ECE2",NA
"439","TEX47","ZYG11A",NA
"440","TAAR1","RRAD",NA
"441","SLC24A2","DMRTA1",NA
"442","HAPLN2","OR2M4",NA
"443","CDH16","NAT16",NA
"444","WSCD2","TAS2R8",NA
"445","HTN1","TERB1",NA
"446","ST8SIA2","RNASE11",NA
"447","TRHDE","UPK3A",NA
"448","ABCG4","WSCD2",NA
"449","FKBP6","CCDC177",NA
"450","ANKUB1","SMIM5",NA
"451","NTF4","BPIFA4P",NA
"452","CCDC160","TRHDE",NA
"453","CDC20B","SLC28A1",NA
"454","STK32B","RND2",NA
"455","CIMIP4","SLC5A8",NA
"456","PCDH10","LRRTM3",NA
"457","CCL23","CATSPER1",NA
"458","SERPINA9","CCKBR",NA
"459","GSG1","NANOGNB",NA
"460","MS4A15","KRT84",NA
"461","KCNH5","CHRNB4",NA
"462","MMP24","PRAMEF19",NA
"463","MYLK3","CLEC3B",NA
"464","OR5D14","KRT79",NA
"465","SLC45A1","SP7",NA
"466","SRD5A2","CD79B",NA
"467","CACNA1A","TGM6",NA
"468","LRRTM4","SDR9C7",NA
"469","ETV3L","KCNH7",NA
"470","RLN3","GDF10",NA
"471","DENND2A","RTL1",NA
"472","PAGE4","GHRHR",NA
"473","DHRS7C","OR1M1",NA
"474","OR7G3","IL36A",NA
"475","C16orf89","TMEFF2",NA
"476","TEX44","BTG4",NA
"477","AQP6","P4HA3",NA
"478","TMEM114","MMP24",NA
"479","PYGM","KCND3",NA
"480","AMELY","CXorf66",NA
"481","CLEC2A","KNDC1",NA
"482","DCD","CIMIP4",NA
"483","ALDH3A1","RIMS2",NA
"484","PRSS45P","PAGE1",NA
"485","POU4F1","C9orf43",NA
"486","CTAGE1","ABCA4",NA
"487","OR10AG1","OR12D3",NA
"488","TLX1NB","HRK",NA
"489","CALHM4","TEX47",NA
"490","WNT7A","CACNA1A",NA
"491","ESR2","ATP8B3",NA
"492","PCARE","YPEL4",NA
"493","SLC5A8","IGFN1",NA
"494","SNTG2","C9",NA
"495","OR8G1","AANAT",NA
"496","OR4K1","GSC",NA
"497","COL22A1","PAGE3",NA
"498","APOF","ABCC8",NA
"499","CFAP77","CLEC2A",NA
"500","OLAH","ZFP57",NA
"501","GSDMC","NMBR",NA
"502","RND2","LNCRI",NA
"503","RIMS2","ANKRD34C",NA
"504","GPLD1","TRIML2",NA
"505","FGF5","ANLN",NA
"506","CDK15","LINC00114",NA
"507","TTBK1","ATCAY",NA
"508","NEXMIF","DNASE2B",NA
"509","HRK","VAX1",NA
"510","GSC","TEKT3",NA
"511","PAQR9","TAAR1",NA
"512","BARHL2","LINC00552",NA
"513","ENPP7","APC2",NA
"514","SELENOV","CEACAM16",NA
"515","OR8G5","TRIM55",NA
"516","GJD2","TRIM61",NA
"517","COL6A5","PRR18",NA
"518","GLP1R","FGF22",NA
"519","VTCN1","ADM5",NA
"520","IL2","AMDHD1",NA
"521","TMEM132A","CDX4",NA
"522","OR4D2","MYH7",NA
"523","PAGE3","OTOP2",NA
"524","ATP6V1B1","COL6A5",NA
"525","C1QL2","IL2",NA
"526","CFAP299","F13B",NA
"527","DLGAP1","TMEM232",NA
"528","KCNT1","MAGEA8",NA
"529","C2orf78","SERPINA9",NA
"530","CNTN1","SLC34A2",NA
"531","VSTM2B","OR2AT4",NA
"532","SPX","HBB",NA
"533","LACRT","IQCF5",NA
"534","OR2S2","ATP6V1B1",NA
"535","NKAIN4","CFAP144",NA
"536","SNX31","TECTB",NA
"537","AACSP1","SNORA50A",NA
"538","FCRL4","SNX31",NA
"539","NR0B1","AWAT1",NA
"540","CFAP46","CFAP299",NA
"541","THPO","PCDH11Y",NA
"542","FEZF2","DZIP1L",NA
"543","HTR4","NKAIN4",NA
"544","GJB7","OR11G2",NA
"545","AIPL1","SHOX",NA
"546","ENAM","NR0B1",NA
"547","PCDHAC2","SRD5A2",NA
"548","IL13","MDGA1",NA
"549","RPH3A","CFAP46",NA
"550","KLK15","HOXB1",NA
"551","FOXG1","UNC45B",NA
"552","PCBP3","TTBK1",NA
"553","NEUROG2","SCN10A",NA
"554","CCDC168","RNF128",NA
"555","FUCA1","HS3ST2",NA
"556","ENKUR","CHST6",NA
"557","LINC00272","BPIFC",NA
"558","HOXD12","GRM1",NA
"559","SGSM1","WNT7B",NA
"560","BEND4","PLCXD3",NA
"561","SPATA31F1","RD3",NA
"562","NPAS4","RSPO1",NA
"563","HS3ST6","OSM",NA
"564","ADGRG4","TRIM72",NA
"565","CSAG1","SEMG2",NA
"566","ADM5","DTX1",NA
"567","BNC1","SYNPO2L",NA
"568","REXO1L1P","RIC3",NA
"569","SORCS3","OR9Q2",NA
"570","ATCAY","TSPEAR",NA
"571","OR10H5","GBX2",NA
"572","A4GNT","LCE2B",NA
"573","MRGPRX4","FAM135B",NA
"574","PAPOLB","GABRG3",NA
"575","SPIC","FOXD3",NA
"576","CHRNB4","AKR1B15",NA
"577","FAM27E5","SOX21",NA
"578","GPC5","DACH1",NA
"579","BEST4","VSTM2A",NA
"580","ZIC3","CFAP77",NA
"581","PRELP","SNTG1",NA
"582","ZNF396","FAM24A",NA
"583","SCP2D1","OR13C3",NA
"584","AGXT2","TRDN",NA
"585","PI16","MAGEB10",NA
"586","MYH7","DRC7",NA
"587","HTR3B","OR2J2",NA
"588","PRR18","DCC",NA
"589","OPRPN","KCNA7",NA
"590","SRRM4","ITGAD",NA
"591","RTL9","KIF20A",NA
"592","SLC7A14","GKN2",NA
"593","GP5","CLECL1P",NA
"594","TNP1","NRXN1",NA
"595","DNAH10","CTAGE1",NA
"596","IL4","PDLIM2",NA
"597","AMER2","ETNK2",NA
"598","RBMXL2","C12orf71",NA
"599","USP26","TSGA10IP",NA
"600","LINC02843","KCNT1",NA
"601","GTSF1L","SOHLH1",NA
