"","Canonical","NonCanonical","Atypical"
"150","RUNDC3A","UNC13A","NCKAP1L"
"151","APOL1","TSPAN6","PLD3"
"152","AXL","CMKLR1","CSF1R"
"153","APOBEC3G","ADAP2","AUTS2"
"154","ARHGAP9","PTGFRN","STAT1"
"155","SLA","GBP4","MYO5A"
"156","IL21R","C3AR1","TMTC1"
"157","CD53","UBASH3B","TBX21"
"158","UBASH3B","AUTS2","CDK14"
"159","MYO1F","CD96","LSP1"
"160","CD300A","STAT4","C1S"
"161","ARHGEF6","SAMD4B","LST1"
"162","SERPINE1","PALM","ITGA4"
"163","DCLK1","CXCR6","PSTPIP1"
"164","SUCNR1","PLEKHO1","MSR1"
"165","PACS1","MYO5A","FASLG"
"166","CAPRIN2","LAYN","TARP"
"167","FYB1","SDS","TUSC3"
"168","RHOH","LIFR","IKZF1"
"169","SCN2A","MIA","PLEKHO1"
"170","FTCD","GJD3","ZNF114"
"171","GPX2","ZNF114","LYPD2"
"172","LCP2","APOL1","CDO1"
"173","KLHL6","IQCG","TYMP"
"174","FPR3","GYPC","GNG2"
"175","DCTPP1","CDH17","MUC6"
"176","MARCHF4","GAP43","PAF1"
"177","BCAT1","FCGR3A","TNFRSF9"
"178","ADA2","LAIR1","CXCR6"
"179","GAB3","CD52","SDS"
"180","CXCR5","HAPLN3","GJD3"
"181","CLEC12A","TMEM98","RAB31"
"182","EVI2A","PSMC4","HEG1"
"183","HAPLN3","ANGPTL2","TRBV19"
"184","HEY2","CAV1","CAVIN3"
"185","CXCR6","GIMAP4","CD3D"
"186","APOBEC3D","C1QB","TBC1D10C"
"187","OLR1","MYO1F","PRSS8"
"188","MED29","ARHGAP15","FAM186A"
"189","FLT3LG","CDK14","UBASH3B"
"190","SDS","OLR1","BCAR3"
"191","LAIR1","SUSD2","CD52"
"192","GPR18","CD3D","LAIR1"
"193","PDCD1","ABI3","ARHGAP15"
"194","NLRC4","C2orf74","AP3S1"
"195","CD52","IKBIP","ITGAM"
"196","PLEKHO1","TRBV19","CD8B"
"197","JCAD","AXL","IGSF6"
"198","GJD3","C1R","TUBB6"
"199","ACAP1","CD69","ATP8B3"
"200","CHRD","SCN2A","RGS1"
"201","CD69","GPR18","TNFRSF4"
"202","CD247","TMTC1","ASCL2"
"203","CD244","TYMP","HAPLN3"
"204","AUTS2","NNMT","CD37"
"205","GBP6","FTCD","IRF4"
"206","GGCT","PLEKHF1","SLFN11"
"207","FAM78A","CD3G","MARVELD3"
"208","ARHGAP15","DOK2","OLR1"
"209","FOLR2","TAGLN3","SAMD4B"
"210","DPEP2","HEG1","ARHGAP25"
"211","CTSW","RHOH","CCR2"
"212","ZNF114","EOMES","RASSF2"
"213","C16orf82","TNFRSF4","CD96"
"214","MYO5A","MSR1","VIM"
"215","C1orf162","MAP3K10","CFTR"
"216","EPHB6","CCR1","KLRK1"
"217","TMEM198","CAVIN3","IGFLR1"
"218","CATSPERG","SMIM43","NEXN"
"219","CD3D","MARCHF4","CD69"
"220","SERPING1","TARP","SASH3"
"221","PARP15","MYO1D","CD24"
"222","APOE","ITGB2","IL16"
"223","FBN2","CD247","ACTN4"
"224","GBP4","ADAMDEC1","PALM"
"225","WARS2","TUSC3","GALNT6"
"226","VAMP5","LILRB4","APOL1"
"227","UNC13A","IL18BP","GPR18"
"228","UNC5A","C9orf152","JAK3"
"229","MYO1D","ACTN4","GZMA"
"230","CCL21","ITGA4","MYO1F"
"231","TRBV19","GBP6","FRMD6"
"232","LAYN","NEXN","STAT4"
"233","MIA","CCL21","ETS1"
"234","SLAMF7","PECAM1","MYO1D"
"235","LILRB4","UNC5A","C9orf152"
"236","C9orf152","LAPTM5","LILRB4"
"237","GSTP1","WARS2","CFLAR"
"238","ANGPT1","IGFLR1","GPR35"
"239","PDSS1","MS4A6A","VASH1"
"240","MYB","PDSS1","KLRC3"
"241","CDK14","SLFN11","ST8SIA1"
"242","LIFR","ST8SIA1","LCP1"
"243","TAGAP","MAFB","CD14"
"244","FCER1G","DPEP2","IFNLR1"
"245","IDO2","NKAIN4","RPIA"
"246","IL18RAP","C1orf162","PPFIBP2"
"247","NKAIN4","MGST1","ZEB1"
"248","SERPINB9P1","VIP","RASAL3"
"249","ANGPTL2","TOGARAM2","MGST1"
"250","TNFRSF4","AP1M2","FCGR1BP"
"251","SAMSN1","CATSPERG","NIM1K"
"252","IQCG","RPIA","GPR87"
"253","VIP","CAPRIN2","SCN2A"
"254","CLIC2","C1S","UBE2Z"
"255","MMP24","BTN2A2","TREM2"
"256","ADAP2","IL21R","AP1M2"
"257","MAFB","SRGN","COMMD10"
"258","CHRNB2","CLEC12A","ARHGAP29"
"259","DBI","IGSF6","AXL"
"260","STOX2","CAVIN1","FTCD"
"261","ACTN4","CLIC2","LTBP2"
"262","PRR15L","DCLK1","CEP85L"
"263","IGFBP1","ITGAM","TNFRSF18"
"264","CDH17","SRRM3","PTGFRN"
"265","TYMP","CD24","ATF5"
"266","FMO1","CXCR5","CAVIN1"
"267","SECTM1","FCGR1BP","DOCK10"
"268","AGTR1","CD244","SPARCL1"
"269","EID2B","GGN","VSX1"
"270","CD160","IDO2","ZNF735"
"271","BTN2A2","EID2B","CD247"
"272","TRAF3IP3","SERPINE1","NECAP2"
"273","ATP5PB","MARVELD3","GYPC"
"274","HEG1","GGCT","TFEC"
"275","STX1A","PRSS8","HSD11B2"
"276","TMTC1","AP3S1","MSN"
"277","ITGAX","RGS1","GBP1"
"278","HIVEP3","SUPT5H","PPP1R18"
"279","SRRM3","PYHIN1","MAFB"
"280","EPCAM","FLT3LG","MMP2"
"281","CAVIN3","LST1","PDSS1"
"282","TMEM140","PRR15L","CCL21"
"283","GAP43","CFLAR","EFNA4"
"284","BLID","TAGAP","RHOH"
"285","PARP10","LYL1","NKAIN4"
"286","HK3","FAM78A","UNC5A"
"287","ZNF326","KLRC3","GJB1"
"288","CTIF","ZEB1","BTN2A2"
"289","NEXN","PCDH7","MARCHF4"
"290","TRIM2","ELFN2","CRIP2"
"291","SLURP1","PAF1","WARS2"
"292","ST8SIA1","SMAGP","VIP"
"293","MGST1","GPR87","FAM3C"
"294","AP1M2","JAK3","GBP6"
"295","ZNF467","MED29","GNG11"
"296","WARS1","TRIM2","SUPT5H"
"297","XIRP1","TREM2","PARVG"
"298","SUCLG1","BCAR3","C2orf74"
"299","ELFN2","IFNLR1","CD59"
"300","ARHGAP30","CHRD","LGALS1"
"301","EVA1B","TFEC","TTN"
"302","MSR1","CFTR","TIMP1"
"303","SCIMP","VASH1","SRRM3"
"304","ARID2","SUCNR1","LACRT"
"305","PSMC4","FCGR2C","LY6E"
"306","FAM30A","ITGAX","ADORA2A"
"307","CDH19","GNG2","DOK2"
"308","SORT1","GJB1","DKK1"
"309","NXPE3","MAOB","CD109"
"310","IGFLR1","HK3","RFTN1"
"311","DTX1","GALNT6","A2M"
"312","CAVIN1","CRIP2","ESRP2"
"313","LYL1","GZMA","TSPAN6"
"314","ICAM1","SERPINB9P1","CLIC2"
"315","LRIF1","RUNDC3A","LYL1"
"316","BICDL1","EID3","PKLR"
"317","RTL8B","ASCL2","SMCR8"
"318","RPIA","COX7B2","KDF1"
"319","IGF1","ADORA2A","MUC20"
"320","GGH","CCL2","BIN2"
"321","TARP","IFFO1","SCO2"
"322","ATP23","ACAP1","CMTM3"
"323","SUPT5H","TRAF3IP3","HNF1B"
"324","WDFY2","CEP85L","TIMP2"
"325","TMEM106C","NLRP1","CCL2"
"326","OR13C4","ZNF467","EID2B"
"327","NRP1","GSTP1","AIF1"
"328","FCGR2C","ZNF326","PLOD1"
"329","NLRP1","DOCK10","PARP14"
"330","MAOB","SH3D19","CAMSAP3"
"331","WDR25","EVA1B","GPNMB"
"332","STAB2","EPHB6","HOOK2"
"333","WNT7B","ICAM1","CRCT1"
"334","YIF1B","RTL8B","HERC5"
"335","IFNL1","TMEM140","ELFN2"
"336","LIME1","GNB4","CD3G"
"337","PANK1","HEY2","EID3"
"338","MAP3K12","TMEM151A","C1orf162"
"339","ITGA3","RAB3B","GNB4"
"340","FUT4","BICDL1","CMKLR1"
"341","PARP12","BSN","DPEP2"
"342","C1R","RASSF2","CTSK"
"343","EOMES","PPFIBP2","CYP2J2"
"344","IFFO1","A1BG","SH3D19"
"345","TUSC3","IGFBP1","PMAIP1"
"346","BCL2A1","CDX2","FCGR2C"
"347","C3AR1","CYP2J2","SRSF8"
"348","NDUFA4L2","PPP1R18","COX7B2"
"349","CAV1","FOLR2","MLXIPL"
"350","NEK2","NLRC4","TRIM22"
"351","EID3","TUBB6","CATSPERG"
"352","A1BG","LTBP2","PLEKHJ1"
"353","IL1RAPL1","SECTM1","BSN"
"354","COX7B2","ARHGAP30","RAB34"
"355","ST3GAL3","IDO1","RAB3B"
"356","SLFN11","STOX2","MAOB"
"357","GIMAP4","MYB","SLC31A2"
"358","ODAD1","EPCAM","TMEM45A"
"359","TNFSF12","STX1A","RPS28"
"360","SH2D1A","IL18RAP","TRIM2"
"361","NIPSNAP2","PSMD8","CYBB"
"362","CCR1","AGTR1","IFFO1"
"363","FCGR1BP","BLID","TMEM98"
"364","C19orf33","C19orf33","MMRN2"
"365","SCN9A","FAM98C","IDO2"
"366","ZMIZ2","WNT7B","CST6"
"367","NUDT21","SLC12A2","PRR15L"
"368","CSF3R","TMEM106C","GPR84"
"369","TENM4","MZB1","THEMIS"
"370","C1QB","MMP24","NXNL2"
"371","DDX20","TENM4","PLEKHF1"
"372","NNMT","CHRNB2","RAB25"
"373","MSMO1","NRP2","LUM"
"374","SLC12A2","SH2D1A","CDX2"
"375","CDX2","SPHK1","NR1I2"
"376","SH2D1B","TMEM177","CXCL10"
"377","CCL2","ETS1","COL22A1"
"378","ITGA4","CD14","EPS8L3"
"379","CLRN3","HIVEP3","TAGLN3"
"380","PILRA","ATP8B2","CXCL9"
"381","ANKS4B","CST6","LRRC8C"
"382","SH3D19","SPACA6","CACNG2"
"383","ADAMDEC1","NXPE3","HOPX"
"384","SPHK1","CD160","IDO1"
"385","RAB3B","PARP12","PRR12"
"386","BSN","SLC44A3","OTUB1"
"387","FIGN","FCGR2A","ANXA5"
"388","GGTA1","ATF5","THEMIS2"
"389","C1orf159","SORT1","OASL"
"390","DYRK1B","APOL3","A1BG"
"391","PLEKHG2","GPR84","CHST3"
"392","SERBP1","MSN","NLRP1"
"393","IDO1","CTSW","MYO7B"
"394","BCAS2","CD109","STK17B"
"395","TGFB1","IFNE","CYP4A22"
"396","ANKRD1","PPM1H","NT5E"
"397","GNB4","CLRN3","FCGR2A"
"398","FAM98C","FRMD6","COQ8A"
"399","HMGB3","ZNF540","RAC2"
"400","FAM27E5","KDF1","ITGAX"
"401","IDH2","NRP1","TRIM21"
"402","ADORA2A","THEMIS","HK3"
"403","ITGB2","SPARCL1","SMIM43"
"404","GJB1","GPR160","B4GALT1"
"405","NRP2","S100A2","NPC1"
"406","TMEM106A","GBP1","TAGAP"
"407","NR3C1","NT5E","FAM98C"
"408","TNFSF13B","ADAM28","MZB1"
"409","CRIP2","EVL","RTL8B"
"410","MZB1","NDUFA4L2","FCSK"
"411","SLC44A3","DKK1","NAB2"
"412","CYP2J2","SMCO2","VDR"
"413","SPACDR","HOOK1","ATP8B2"
"414","EVL","PANK1","CCDC198"
"415","TFEC","GNG11","S100A13"
"416","PRECSIT","NR3C1","VGF"
"417","SMCO2","LCP1","ICAM1"
"418","PKD1","ANKS4B","GLT8D2"
"419","CD24","MSRB3","LMNTD1"
"420","KIAA1755","ATP5PB","TWF2"
