"","Canonical","NonCanonical","Atypical"
"149","SLC6A15","TMPRSS6",NA
"150","CACNG6","SPANXN2",NA
"151","CADM3","LTBP3",NA
"152","ADAMTS18","LOC391322",NA
"153","CYLC1","HMX3",NA
"154","MYCBPAP","PHF24",NA
"155","OR11G2","TMEM255B",NA
"156","BAALC","SSTR4",NA
"157","FAM47B","NEUROD6",NA
"158","COL25A1","PDIA2",NA
"159","FUT5","ARSH",NA
"160","SPATA3","MIR1915HG",NA
"161","CBS","CACNG6",NA
"162","CAVIN4","MED11",NA
"163","MARCHF11","TUBB7P",NA
"164","FUT9","PCDHA13",NA
"165","FRMPD4","ADORA2A",NA
"166","SIGLEC11","KRT84",NA
"167","MARCHF10","DIRAS1",NA
"168","PNLIP","MC2R",NA
"169","OR4D1","GNAT1",NA
"170","DKKL1","SAG",NA
"171","LOXHD1","KCNG1",NA
"172","GPR6","GABRA5",NA
"173","GMNC","GFAP",NA
"174","PCSK2","TMEM88B",NA
"175","MTNR1B","OR5C1",NA
"176","RBFOX3","PLPPR3",NA
"177","TDH","UNC13D",NA
"178","CFAP100","HPCAL4",NA
"179","LCE4A","CACNA1I",NA
"180","AIPL1","OPTC",NA
"181","GARIN1B","SSX2",NA
"182","PPP1R3A","HES7",NA
"183","PSG9","PLEKHG4B",NA
"184","PMCHL1","CCBE1",NA
"185","GDF10","MTUS2",NA
"186","MC2R","LHX3",NA
"187","KY","ADRB3",NA
"188","HMCN2","PTCRA",NA
"189","PRSS42P","ISG20",NA
"190","CLSPN","INMT",NA
"191","SIGLEC8","WFIKKN2",NA
"192","LRTM2","SIDT2",NA
"193","OTX2","TEKT1",NA
"194","CCBE1","PYY2",NA
"195","LYZL6","BOD1L2",NA
"196","TRDN","C12orf54",NA
"197","BMP10","HCST",NA
"198","MGAT5B","CACNG8",NA
"199","UROC1","REEP2",NA
"200","ALPI","CYP2D6",NA
"201","CRB1","ESPNL",NA
"202","SNTG1","LCN1",NA
"203","OR7A17","CACNG5",NA
"204","MOBP","TSPAN10",NA
"205","PASD1","ADGRF3",NA
"206","TLX3","SLC15A3",NA
"207","GALNTL6","GARIN3",NA
"208","KHDRBS2","CEACAM4",NA
"209","CRP","KRT17P5",NA
"210","PEBP4","SPATA3",NA
"211","ADIG","LRRC55",NA
"212","TSKS","IL9R",NA
"213","RAG2","GSX2",NA
"214","GPR149","ABCB11",NA
"215","DLGAP2","FGF12",NA
"216","PDIA2","KRT73",NA
"217","GABRG3","KCNN1",NA
"218","FGF13","PDZD4",NA
"219","WNT5B","VSX1",NA
"220","RTP2","ISYNA1",NA
"221","PCDHA3","SPMAP2",NA
"222","CFAP46","ARID3C",NA
"223","OR8B4","TCEA2",NA
"224","SPX","RBPJL",NA
"225","COX6A2","HRH2",NA
"226","PAEP","PAX1",NA
"227","ARMC12","TMEM114",NA
"228","OTP","LOXHD1",NA
"229","LHX3","MMP24",NA
"230","CFAP57","GARIN5B",NA
"231","RBM46","C10orf90",NA
"232","TEX13A","WDR64",NA
"233","ATP2B2","MARCHF10",NA
"234","LRRTM4","FOXN4",NA
"235","IFNL1","OR10G7",NA
"236","SAG","DPYSL5",NA
"237","SHOX","MGAT5B",NA
"238","PDZD4","GAD2",NA
"239","ACOT12","WNT5B",NA
"240","SAMD15","SPANXN3",NA
"241","TPO","IQSEC3",NA
"242","CHD5","SNHG9",NA
"243","LMNTD1","TSGA13",NA
"244","BLK","SFTPB",NA
"245","SPANXN3","HCN4",NA
"246","SERPINB11","SRY",NA
"247","OR6C1","NTNG1",NA
"248","ADGRB3","LYZL6",NA
"249","GPC5","UGP2",NA
"250","OR6B2","PRRT4",NA
"251","CIMIP4","WNT3A",NA
"252","PKD1L2","CDH23",NA
"253","STOML3","WSCD2",NA
"254","TBX5","PRSS57",NA
"255","WDR64","ECE2",NA
"256","GARIN5B","MORN3",NA
"257","TMEM232","C1QTNF2",NA
"258","FAM24A","TRPV5",NA
"259","SIGLECL1","C10orf53",NA
"260","CFAP61","GPR101",NA
"261","SIX3","C10orf62",NA
"262","TSGA13","CFAP77",NA
"263","PLCXD3","PFN3",NA
"264","ACOXL","TREML2",NA
"265","DIRAS1","UNC79",NA
"266","MASP1","CDK5R2",NA
"267","OR5J2","PABPN1L",NA
"268","FFAR3","KIAA0825",NA
"269","ZIC4","SPSB4",NA
"270","ADGRV1","SCN2B",NA
"271","GLYAT","SHOX",NA
"272","RGS8","SOX3",NA
"273","LCE1B","TAL1",NA
"274","ZSCAN5B","IQSEC2",NA
"275","DPPA4","TTYH2",NA
"276","MTUS2","SLC12A3",NA
"277","COX7A1","COL2A1",NA
"278","KCNG1","C14orf180",NA
"279","TEX47","PTGER1",NA
"280","LINC00161","MYH7",NA
"281","TMEM196","TSSK6",NA
"282","DPYSL4","PRSS27",NA
"283","SYN2","KNDC1",NA
"284","KCNA7","DSCAML1",NA
"285","ANKRD34C","FAM47B",NA
"286","CCDC160","LOC441239",NA
"287","GAS2L2","RASGRP2",NA
"288","CPA2","A4GNT",NA
"289","APOF","LRRC61",NA
"290","HCN4","CATSPER1",NA
"291","C1GALT1C1L","CIMAP1B",NA
"292","FOXN4","ELOVL3",NA
"293","RNASE11","SHISA7",NA
"294","TRHDE","HHLA1",NA
"295","ATRNL1","ZBP1",NA
"296","TTC9B","FSCN2",NA
"297","GRID1","DLGAP2",NA
"298","DEFB114","CFAP100",NA
"299","TERB1","NTN3",NA
"300","MYH7","RBFOX3",NA
"301","RXFP2","IGFLR1",NA
"302","TPPP2","DPP6",NA
"303","C22orf42","PROKR2",NA
"304","POTEA","ATN1",NA
"305","SOX3","ZNF208",NA
"306","VSTM2B","IL27",NA
"307","NLGN1","NCS1",NA
"308","SLITRK2","RTL1",NA
