"","Canonical","NonCanonical","Atypical"
"178","C2orf50","FRMPD4",NA
"179","SPDEF","WFIKKN2",NA
"180","GARIN3","WDR64",NA
"181","TAS2R8","MORN3",NA
"182","ASTN1","NANOGNB",NA
"183","TEX35","SNTG2",NA
"184","DRC7","SLC6A11",NA
"185","HPN","PRDM12",NA
"186","ALDH1L1","HAPLN2",NA
"187","C10orf90","PKD1L2",NA
"188","INSRR","CACNA1I",NA
"189","TEKT1","MOBP",NA
"190","CCKBR","OR2A12",NA
"191","RNF17","OR2M4",NA
"192","PCSK2","REXO1L1P",NA
"193","PMCHL1","VGLL2",NA
"194","VGLL2","UNC79",NA
"195","LHX5","ASTN1",NA
"196","SMR3A","SAG",NA
"197","OR11G2","HTN1",NA
"198","RHOXF1","IRS4",NA
"199","FAM24A","IL36A",NA
"200","KY","NOL4",NA
"201","CADM2","SPANXN5",NA
"202","PRSS21","SLC5A7",NA
"203","C12orf54","EIF4E1B",NA
"204","CFAP100","OTOR",NA
"205","SHISAL2A","OR4D1",NA
"206","UNC79","LINC00700",NA
"207","CFAP144","TAS2R8",NA
"208","RAD21L1","HCN4",NA
"209","RIPPLY1","MMP24",NA
"210","KNDC1","ZNF556",NA
"211","IL36A","MCHR2",NA
"212","CHRNB4","GSX2",NA
"213","TUBB7P","SMR3A",NA
"214","GSG1","PCDHA6",NA
"215","MASP1","C12orf71",NA
"216","WNT7B","C10orf90",NA
"217","TEX47","SLC22A8",NA
"218","TMEM114","GPR6",NA
"219","ATCAY","CCDC168",NA
"220","KRT84","PIWIL3",NA
"221","PRODH2","NDST4",NA
"222","MOBP","CNTN2",NA
"223","ZNF556","CD79B",NA
"224","ZYG11A","KRT84",NA
"225","CMA1","SLC34A2",NA
"226","STOML3","PRSS55",NA
"227","LDLRAD1","INSRR",NA
"228","CIMIP4","ANKRD34C",NA
"229","ALDH3A1","PCAT4",NA
"230","OR2M4","KY",NA
"231","PCDHA6","WSCD2",NA
"232","KLK14","BTBD17",NA
"233","GDF10","RPH3A",NA
"234","AJM1","KNDC1",NA
"235","GRM1","APOF",NA
"236","LINC02843","CYP4F22",NA
"237","RSPO4","NTNG1",NA
"238","BNC1","MAPT",NA
"239","CYP4F22","PRDM9",NA
"240","SPOCK3","HOXB1",NA
"241","MAPT","USP26",NA
"242","SERPINA9","GREB1",NA
"243","PAX3","TRDN",NA
"244","NANOGNB","IQCF5",NA
"245","PYY2","SOX21",NA
"246","GRM2","ATP2B2",NA
"247","SAMD7","OR11G2",NA
"248","SFTPB","AWAT1",NA
"249","FOXJ1","FAM24A",NA
"250","SP7","CRB1",NA
"251","USP2","UROC1",NA
"252","USP26","CHRNB4",NA
"253","SCN5A","BPIFC",NA
"254","PLCXD3","LHX5",NA
"255","MCHR2","YJEFN3",NA
"256","NRG3","C2orf50",NA
"257","APOF","PLCXD3",NA
"258","TEKTL1","CCDC40",NA
"259","CNTN2","TEKT1",NA
"260","ENTPD8","SPANXN3",NA
"261","NELL1","OR10H5",NA
"262","HAPLN2","CIMIP4",NA
"263","AWAT1","SNX31",NA
"264","SNTG2","SERPINB11",NA
"265","TEX44","SAMD7",NA
"266","CFAP46","AIPL1",NA
"267","CATSPER1","LRRTM3",NA
"268","CHIT1","PRSS42P",NA
"269","PRSS42P","ERBB4",NA
"270","LINC00700","OPCML",NA
"271","IRS4","USP2",NA
"272","GPR26","SYNPO2L",NA
"273","TRDN","CHIT1",NA
"274","MYH7","TEF",NA
"275","GSG1L","TEX44",NA
"276","OR10H5","PCARE",NA
"277","HCN1","PAX3",NA
"278","SLC6A15","ATP8B3",NA
"279","NOL4","OR1C1",NA
"280","RPH3A","TEX35",NA
"281","TGM5","RPL39",NA
"282","TACR3","LRRTM4",NA
"283","PRSS50","KLK14",NA
"284","RHAG","ZYG11A",NA
"285","JAKMIP3","FOXJ1",NA
"286","SERPINA11","CCKBR",NA
"287","ENPP7","LINC00272",NA
"288","PCARE","SLC6A15",NA
"289","LDB3","MLIP",NA
"290","CCN5","RHAG",NA
"291","SNTG1","RNASE11",NA
"292","SOX21","TMEM114",NA
"293","OR1C1","SFTPB",NA
"294","KCNT1","LDB3",NA
"295","OTOR","TGM5",NA
"296","LNCRI","PRAMEF19",NA
"297","PAGE3","ERICH3",NA
"298","PRR18","TEX47",NA
"299","LRRTM3","PAGE3",NA
"300","SCP2D1","CDH8",NA
"301","C12orf71","CFAP46",NA
"302","TERB1","VSTM2A",NA
"303","SPTA1","SRD5A2",NA
"304","NMBR","SPDEF",NA
"305","EWSAT1","PSG9",NA
"306","CYP4B1","CADM3",NA
"307","MARCHF11","PRR18",NA
"308","UROC1","GSG1",NA
"309","SLC25A34","SNTG1",NA
"310","CCDC40","CDH12",NA
"311","RTL9","HELT",NA
"312","FEZF2","ATCAY",NA
"313","HTN1","LCE1B",NA
"314","KCNC1","CFAP100",NA
"315","ZIC3","OR12D3",NA
"316","ATP8B3","PRODH2",NA
"317","DBX1","MS4A15",NA
"318","PAGE4","SP7",NA
"319","PIWIL3","C15orf32",NA
"320","CCDC168","CATSPER1",NA
"321","XKR4","MYH7",NA
"322","PDYN","CFAP54",NA
"323","BEND4","SERPINA9",NA
"324","KCNH5","NR0B1",NA
"325","CATSPER4","MBD3L1",NA
"326","OR2G2","SPX",NA
"327","CHCT1","TERB1",NA
"328","ETV3L","ALDH3A1",NA
"329","SDR9C7","CDX4",NA
"330","MYADML2","GRM1",NA
"331","OR2A12","C9",NA
"332","GPR101","SRRM4",NA
"333","RNASE3","IL4",NA
"334","TSPEAR","CELA3B",NA
"335","MS4A10","KCNC1",NA
"336","SLITRK2","CFAP144",NA
"337","SLITRK5","SCP2D1",NA
"338","ATP6V1B1","SHOX",NA
"339","ABCG4","CEACAM16",NA
"340","MCF2","ANKUB1",NA
"341","CDC20B","PCDH11Y",NA
"342","CLRN1","CCDC160",NA
"343","BTG4","DPYSL5",NA
"344","SLC17A6","BTG4",NA
"345","VAX1","CD180",NA
"346","NAT16","EWSAT1",NA
"347","CFAP77","PAGE4",NA
"348","LRRTM4","ENPP7",NA
"349","IL4","MARCHF11",NA
"350","DENND2A","PRSS50",NA
"351","OR4D1","POM121L2",NA
"352","SNX31","OR10A3",NA
"353","CDH16","FGF5",NA
"354","APC2","WNT7B",NA
"355","SLC8A2","LINC02843",NA
"356","OR5D14","CYP4B1",NA
