"","Canonical","NonCanonical","Atypical"
"175","LINC00161","SLC22A20P",NA
"176","CAMKV","CMTR2",NA
"177","UCP2","LINC00268",NA
"178","LY6G6C","LYRM9",NA
"179","OR51B2","LRTM1",NA
"180","PGM5","B3GAT1",NA
"181","TMPRSS6","NANOG",NA
"182","AMER1","KRT79",NA
"183","PAX4","OR8J1",NA
"184","PCDHA4","DIPK1B",NA
"185","FEV","FRMPD1",NA
"186","SLC17A8","SULT6B1",NA
"187","PRB1","NELL1",NA
"188","ARHGAP44","HTR3D",NA
"189","ZNF575","ADAMTS16",NA
"190","NFIC","APLP1",NA
"191","RPH3A","NPFFR1",NA
"192","EN1","APC2",NA
"193","HPCA","MIOX",NA
"194","OR2D2","PPP3R1",NA
"195","TEAD2","SLC17A8",NA
"196","SULT6B1","TTBK1",NA
"197","KCNIP3","XKRX",NA
"198","AVPR1A","IP6K3",NA
"199","PSORS1C1","PDE1B",NA
"200","PLEKHH2","RBM7",NA
"201","ASCL3","PGM5",NA
"202","ALOX15","TMEM266",NA
"203","OR5AK2","C5orf52",NA
"204","GAB4","RTL9",NA
"205","NHSL2","OR10K1",NA
"206","LCE1E","PRSS41",NA
"207","JKAMP","REG1CP",NA
"208","DNM1P35","CDH6",NA
"209","ABCG4","LCLAT1",NA
"210","CCDC27","SYN1",NA
"211","AQP7","NFIC",NA
"212","CUBN","ADAMTS15",NA
"213","PSD","SCAMP5",NA
"214","NR5A1","CACNG8",NA
"215","TRIM46","GPR61",NA
"216","GLP1R","NTNG1",NA
"217","DCHS1","C22orf15",NA
"218","B3GAT1","FAM170A",NA
"219","LOXHD1","OR2D2",NA
"220","PRODH2","CBARP",NA
"221","CCDC116","PCDHA4",NA
"222","STPG2","GALP",NA
"223","DCAF12L1","ITIH4",NA
"224","CLEC1A","PRSS55",NA
"225","LINGO1","HAPLN2",NA
"226","SEC1P","DCAF12L1",NA
"227","CYP2B6","BTBD17",NA
"228","MVB12B","PIK3CD",NA
"229","POU6F2","NXPH4",NA
"230","OR2A25","GLP1R",NA
"231","AMHR2","FEV",NA
"232","CIMAP1A","ADGRG4",NA
"233","C5orf52","SPANXN2",NA
"234","PSMB5","SPEM1",NA
"235","ADM5","GABBR2",NA
"236","GPR61","SPACA4",NA
"237","OR8J1","CAMKV",NA
"238","ADRA2B","HSD17B14",NA
"239","CRYGC","AHDC1",NA
"240","GALP","CRIP3",NA
"241","KCNH6","CHID1",NA
"242","LHX3","CLEC1A",NA
"243","SPANXN2","SLA2",NA
"244","GPX6","MTNR1B",NA
"245","HEPN1","TGM5",NA
"246","DNAJB13","SPRY3",NA
"247","ERICH3","TAS2R39",NA
"248","LOC403312","PIK3R5",NA
"249","OR2V2","GAB4",NA
"250","OPRPN","ANKRD33",NA
"251","PRAMEF10","SAMD15",NA
"252","LINC00552","H2AC21",NA
"253","SCN10A","LPA",NA
"254","SLC26A8","TEAD2",NA
"255","SEC31B","DENND1C",NA
"256","WDR97","OR13H1",NA
"257","CCDC13","RORB",NA
"258","OR7A10","DCX",NA
"259","SH2D5","MAML1",NA
"260","NANOGNB","CUBN",NA
"261","CRHR1","ZIC3",NA
"262","CKM","INS",NA
"263","OR1N1","CDH8",NA
"264","ARMS2","NUTM2A",NA
"265","CPNE5","AWAT1",NA
"266","TMEM266","LGALS14",NA
"267","FCRL6","MAJIN",NA
"268","KRT25","ANO2",NA
"269","NPPA","CACNG7",NA
"270","ZSCAN5B","CADM4",NA
"271","CHAD","FAM215A",NA
"272","FLACC1","BLOC1S2",NA
"273","CNGB3","SLC2A11",NA
"274","ATXN7L2","LRRC4C",NA
"275","MYO3A","MEGF11",NA
"276","PATE1","CYP4V2",NA
"277","MAJIN","FRRS1L",NA
"278","INSIG2","OR4K1",NA
"279","FRMPD2","MYO18B",NA
"280","OR4A15","OR6X1",NA
"281","ARMC12","TLR6",NA
"282","RESP18","ST8SIA5",NA
"283","MPP2","OR4S2",NA
"284","CA6","PTX4",NA
"285","TAS2R9","KIF2B",NA
"286","MYO18B","ODAPH",NA
"287","CMPK1","CYP2B6",NA
"288","PPP1R1A","NHLH1",NA
"289","CIMAP1C","P2RY6",NA
"290","SLC17A6","SLC35G3",NA
"291","ISM2","FLACC1",NA
"292","ESPN","OTOP1",NA
"293","RSPH6A","OPRPN",NA
"294","GPR26","HMX1",NA
"295","CCDC177","PSD",NA
"296","KRT38","KRT83",NA
"297","CDH16","DNAJB13",NA
"298","NINL","SPATA16",NA
"299","IRX5","PERM1",NA
"300","PRSS41","HPCA",NA
"301","CRLF1","VEZF1",NA
"302","RAB39B","ASPDH",NA
"303","EXOC3L2","PRR12",NA
"304","CIMAP1D","SLC29A4",NA
"305","PATE2","OR1Q1",NA
"306","OR1A1","WDR97",NA
"307","ATP1B2","ADM5",NA
"308","LCE3A","NSG2",NA
"309","NKAIN2","PRR32",NA
"310","GARIN5B","ARHGAP44",NA
"311","GBX2","HSPA12A",NA
"312","KCNK4","KRT81",NA
"313","OR13H1","INHBC",NA
"314","ZIC3","ZNF442",NA
"315","LRRC18","THSD7B",NA
"316","IL21","LINC02145",NA
"317","MTMR7","EN1",NA
"318","SYT9","TTLL6",NA
"319","NYAP1","PTPRN",NA
"320","SEC62","TMEM72",NA
"321","SHISA2","TYR",NA
"322","CACNA1A","RHBG",NA
"323","KCNS1","SLC17A6",NA
"324","GRAP2","DNAAF1",NA
"325","STH","THAP8",NA
"326","LCLAT1","H2BC11",NA
"327","SAMD15","TAS2R9",NA
"328","MMP24","TPMT",NA
"329","NMUR1","MCCD1",NA
"330","TVP23B","GRIK5",NA
"331","OR5AR1","ETV3L",NA
"332","KCNE2","ALOX15",NA
"333","REG1CP","OR1N1",NA
"334","TGM6","NPPA",NA
"335","IFNA21","NR5A1",NA
"336","ADAMTS16","KCNJ6",NA
"337","OAZ1","MICOS10",NA
"338","MDGA1","MAFIP",NA
"339","EVPL","SCRT2",NA
"340","RGR","EPG5",NA
"341","PFKFB1","THBS3",NA
"342","THSD7B","PLIN4",NA
"343","ASIC5","PATE2",NA
"344","LINC02880","LINC00671",NA
"345","SLC22A12","CISD1",NA
"346","ZMAT4","GMIP",NA
"347","DLX2","CD99L2",NA
"348","CSMD2","RBFOX3",NA
"349","OR9A4","PCDHGA2",NA
"350","CDH6","CHERP",NA
"351","CRB2","ACRV1",NA
"352","MAGOH","ULBP3",NA
"353","YBX2","GJD4",NA
"354","CASR","GPR162",NA
"355","PGAP3","OR2A5",NA
"356","C1QTNF9B","KMT5C",NA
"357","KIF2B","CRYGC",NA
"358","RASGRF1","LINC00158",NA
"359","INHBC","NANOGNB",NA
"360","TMC3","SLC25A34",NA
"361","PDYN","PIANP",NA
"362","HAPLN2","FBLN7",NA
"363","CACNG1","SPATA19",NA
"364","OR8K1","SCN10A",NA
"365","CYP4F22","MPP2",NA
"366","HMCN2","TMED3",NA
"367","LRRC4C","GRID1",NA
"368","OR2A14","OMG",NA
"369","CUX2","FUT1",NA
"370","SPEM1","NMUR1",NA
"371","THRSP","STPG2",NA
"372","TMEM74","VPS26A",NA
"373","FRMPD1","CUX2",NA
"374","ANKRD55","MMP21",NA
"375","SPINK13","OR4X2",NA
"376","CNIH2","CLXN",NA
"377","CLXN","C1orf159",NA
"378","OTOP1","IGFN1",NA
"379","OPCML","IFNA21",NA
"380","GPRC6A","CIMAP1D",NA
"381","MICAL2","KRT222",NA
"382","ZCCHC12","SYDE1",NA
"383","ODF1","NPB",NA
"384","SFXN1","JKAMP",NA
"385","TAS2R39","RBM12B",NA
"386","ACRV1","LEFTY2",NA
"387","IGLC1","F8",NA
"388","SPANXN5","GLT1D1",NA
"389","GARIN2","AMER1",NA
"390","CHCHD1","GPR12",NA
"391","ASB18","ASCL1",NA
"392","GRID1","FRMPD2",NA
"393","PNPLA7","ZNF630",NA
"394","CAGE1","CREB1",NA
"395","OMG","C10orf55",NA
"396","CYP4V2","GLYATL1",NA
"397","LINC00268","PDCD1LG2",NA
"398","TMEM72","AGL",NA
"399","CFAP77","NKAIN2",NA
"400","NPAS4","HMCN2",NA
"401","OR1Q1","CACNA1A",NA
"402","LMNTD1","KLHL10",NA
"403","PRKCG","NALCN",NA
"404","PPP1R15A","AHSG",NA
"405","ART4","OR1L1",NA
"406","IFIT1B","MYOD1",NA
"407","TMEM132E","SLC45A2",NA
"408","CATSPERZ","PALM",NA
"409","ENPP7","NFE4",NA
"410","HACD3","CFAP95",NA
"411","ATP11AUN","STH",NA
"412","MYT1","PFKFB1",NA
"413","NIBAN1","LHFPL5",NA
"414","KLRG2","CD33",NA
"415","LEFTY2","SH2D5",NA
"416","ANKRD65","CKM",NA
"417","OR2AT4","CASR",NA
"418","DOK7","PCDHAC1",NA
"419","TYR","SFMBT2",NA
"420","CEBPE","LINGO1",NA
"421","PCNX2","TMEM59L",NA
"422","SYT14","LINC00308",NA
"423","FNDC5","CIMAP1A",NA
"424","OR6F1","METTL21C",NA
"425","KLHL10","NXPH3",NA
"426","GCM2","EXOC3L2",NA
"427","NME9","C11orf87",NA
"428","RTL9","SPINK13",NA
"429","BTBD17","CNGB3",NA
"430","CAMK1D","KRT38",NA
"431","SCN5A","UGT3A2",NA
"432","SEZ6L2","MTMR7",NA
"433","OR6X1","FAAP24",NA
"434","ISL1","NIPA2",NA
"435","F8","DOC2A",NA
"436","AMELY","PLXNA4",NA
"437","GJD4","TMEM235",NA
"438","SLC45A2","KCNH6",NA
"439","IGF2","TRIM50",NA
"440","FUT1","ARFRP1",NA
"441","TNFRSF8","UTF1",NA
"442","ODAPH","KLRG2",NA
"443","KCNK16","ELSPBP1",NA
"444","PIK3R5","GPR26",NA
"445","RPL18A","GPR50",NA
"446","WNT8B","ATP11B",NA
"447","TSPEAR","OR2AT4",NA
"448","ATP1A2","POLN",NA
"449","C10orf62","SLC17A7",NA
"450","ZSCAN10","LLCFC1",NA
"451","SAXO4","ARMS2",NA
"452","NANOS3","CCDC144NL",NA
"453","BPIFA2","PCDHGA7",NA
"454","ELSPBP1","PNMT",NA
"455","CLEC4F","FAM78B",NA
"456","CDH10","OR5M8",NA
"457","OLIG1","UBE3A",NA
"458","MTNR1B","LCE3B",NA
"459","SPMIP3","SGCZ",NA
"460","KRT79","DRAXIN",NA
"461","TDRG1","B4GALT1",NA
"462","LRRN2","SHISA2",NA
"463","TMEM14EP","OR10Z1",NA
"464","HAUS1","TOMM20",NA
"465","NGFR","NUAK2",NA
"466","ADD2","ISM2",NA
"467","GALNT1","TNFRSF8",NA
"468","DMRTA1","ARHGAP33",NA
"469","ARHGAP6","FREY1",NA
"470","KY","SPMIP3",NA
"471","OR10V1","LINC02880",NA
"472","PTX4","OR7A10",NA
"473","C1orf94","MAPK1IP1L",NA
"474","MYOZ2","NME9",NA
"475","ADAMTS15","OR11A1",NA
"476","UPK2","SPACA7",NA
"477","MGAT5B","LRRC4B",NA
"478","EVC2","EFCC1",NA
"479","RBFOX3","ATP11AUN",NA
"480","EFCAB8","CNR1",NA
"481","PCSK2","UCP2",NA
"482","LPAR4","LINC01126",NA
"483","DNAI1","MINK1",NA
"484","KCNJ15","ASIC4",NA
"485","KPNA7","ONECUT1",NA
"486","LGI4","OR8D1",NA
"487","HAP1","ENPP7",NA
"488","SYT12","ZNF479",NA
"489","TEX47","YBX2",NA
"490","FCAR","CNOT8",NA
"491","ETV7","OR2V2",NA
"492","TRIM50","EMID1",NA
"493","FBN3","SPOPL",NA
"494","BSX","KRT32",NA
"495","HSPE1","RGSL1",NA
"496","KLHL4","OR4K2",NA
"497","MSMO1","STAC2",NA
"498","IGFN1","SHC4",NA
"499","MCFD2","FGF4",NA
"500","IER3IP1","PANK1",NA
"501","SCRT2","RCN2",NA
"502","OR9Q1","LRTM2",NA
"503","SSTR2","NHSL2",NA
