"","Canonical","NonCanonical","Atypical"
"1","DRGX","GALNT9","NLRP12"
"2","KLK4","PTPRN","MPP4"
"3","SYCP1","DRGX","PADI4"
"4","MUC7","SHOX2","SLC16A14"
"5","HPD","CATIP","TBX15"
"6","RTP1","POM121L8P","CLEC5A"
"7","EXTL1","IGFL1","NNMT"
"8","GALNT9","HPD","TNFAIP6"
"9","GABRR3","CRHR1","DNASE1L3"
"10","SHISA6","APLNR","NTM"
"11","CRHR1","SLC13A4","SPP1"
"12","PSORS1C2","MUC7","SERPINB2"
"13","SHOX2","ODAD1","COL7A1"
"14","IFT122P3","MYL11","CXCL6"
"15","GPR149","ODAD3","TWIST1"
"16","LMX1A","OSMR","TNC"
"17","JPH3","KLK4","PPEF1"
"18","HMX3","TNR","IBSP"
"19","DENND6B","OR52M1","SELENOP"
"20","DLK1","PTPRU","TNFRSF17"
"21","RUNDC3A","NR2E1","UGT2B7"
"22","CLCNKA","LYPD4","ADH1C"
"23","ZAN","MPPED1","SELE"
"24","MYL11","CBARP","TTR"
"25","SSX3","BHLHA15","UCN2"
"26","ACTL7A","CACNG8","SLC11A1"
"27","NR2E1","UPB1","ADAMTS4"
"28","MAJIN","TCEAL7","HPGD"
"29","CASP14","RTP1","IGKC"
"30","HCCAT5","ACTRT2","CXCR2"
"31","NXPH3","ZC2HC1B","UGT2A3"
"32","UGT3A1","TRPV4","SBSN"
"33","NTSR2","NXPH3","JCHAIN"
"34","TESPA1","NXNL1","FPR2"
"35","PTPRU","ALPL","PLAC8"
"36","HTR6","C1orf94","IGLC1"
"37","OR51A7","LMX1B","INHBB"
"38","OR10G3","LCE3E","TNS4"
"39","LCE2A","LMX1A","COL1A1"
"40","GIP","ARSI","HSD17B2"
"41","LYPD4","IFT122P3","G0S2"
"42","OR8G2P","PRM1","FPR1"
"43","CYP11A1","EXTL1","TREM1"
"44","CATIP","OR1F1","SLED1"
"45","CACNG8","GNMT","CSF3"
"46","GUCA1A","TNNT3","APOH"
"47","DEFB129","SLC27A2","ADAMDEC1"
"48","LINC02870","COX4I2","COL12A1"
"49","PNPLA5","SCUBE3","SIX1"
"50","TSSK3","LCN1","MMP13"
"51","OR5C1","CASP14","AKR1B10"
"52","FLNA","NTSR2","LGALS2"
"53","OPN1SW","GPR149","CSF2"
"54","IGFL1","OR2Z1","IGFL4"
"55","OR1S2","SYCP1","MS4A12"
"56","PLET1","GABRR3","SLC4A4"
"57","IL17A","BTBD19","HCAR3"
"58","OR2Z1","IGFL3","EDN3"
"59","CHIA","GUCA1A","INSL5"
"60","DUXA","HCCAT5","IL6"
"61","BMP10","STUM","GUCA2A"
"62","DEFB136","ANKRD53","CLCA4"
"63","BSND","OR51S1","TMIGD1"
"64","NPVF","TULP2","FAM135B"
"65","FGF6","UBL4B","KRT14"
"66","LRRC52","THRSP","MMP1"
