"","x"
"GSM2325460","Canonical"
"GSM2325461","Canonical"
"GSM2325462","Canonical"
"GSM2325463","Atypical"
"GSM2325464","Canonical"
"GSM2325465","NonCanonical"
"GSM2325466","Atypical"
"GSM2325467","NonCanonical"
"GSM2325468","Atypical"
"GSM2325469","Canonical"
"GSM2325470","Atypical"
"GSM2325471","Canonical"
"GSM2325472","Atypical"
"GSM2325473","Atypical"
"GSM2325474","Canonical"
"GSM2325475","Canonical"
"GSM2325476","Canonical"
"GSM2325477","Atypical"
"GSM2325478","NonCanonical"
"GSM2325479","Atypical"
"GSM2325480","Canonical"
"GSM2325481","Atypical"
"GSM2325482","Atypical"
"GSM2325483","Canonical"
"GSM2325484","Atypical"
"GSM2325485","NonCanonical"
"GSM2325486","Canonical"
"GSM2325487","NonCanonical"
"GSM2325488","NonCanonical"
"GSM2325489","NonCanonical"
"GSM2325490","Canonical"
"GSM2325491","Canonical"
"GSM2325492","Canonical"
"GSM2325493","Canonical"
"GSM2325494","Atypical"
"GSM2325495","Atypical"
"GSM2325496","Canonical"
"GSM2325497","Atypical"
"GSM2325498","Canonical"
"GSM2325499","Canonical"
"GSM2325500","Canonical"
"GSM2325501","Canonical"
"GSM2325502","Atypical"
"GSM2325503","Atypical"
"GSM2325504","Atypical"
"GSM2325505","Canonical"
"GSM2325506","Atypical"
"GSM2325507","Canonical"
"GSM2325508","Canonical"
"GSM2325509","Canonical"
"GSM2325510","Canonical"
"GSM2325511","Canonical"
"GSM2325512","Canonical"
"GSM2325513","Atypical"
"GSM2325514","Canonical"
"GSM2325515","Canonical"
"GSM2325516","NonCanonical"
"GSM2325517","Canonical"
"GSM2325518","Canonical"
"GSM2325519","Canonical"
"GSM2325520","Canonical"
"GSM2325521","Atypical"
"GSM2325522","Canonical"
"GSM2325523","Canonical"
"GSM2325524","Canonical"
"GSM2325525","Canonical"
"GSM2325526","Atypical"
"GSM2325527","Atypical"
"GSM2325528","Canonical"
"GSM2325529","Atypical"
"GSM2325530","Canonical"
"GSM2325531","Canonical"
"GSM2325532","Canonical"
"GSM2325533","NonCanonical"
"GSM2325534","NonCanonical"
"GSM2325535","Atypical"
"GSM2325536","Atypical"
"GSM2325537","Canonical"
"GSM2325538","Canonical"
"GSM2325539","Canonical"
"GSM2325540","Canonical"
"GSM2325541","Atypical"
"GSM2325542","Canonical"
"GSM2325543","Atypical"
"GSM2325544","Atypical"
"GSM2325545","NonCanonical"
"GSM2325546","NonCanonical"
"GSM2325547","Canonical"
"GSM2325548","Atypical"
"GSM2325549","Atypical"
"GSM2325550","Canonical"
"GSM2325551","Canonical"
"GSM2325552","Canonical"
"GSM2325553","Canonical"
"GSM2325554","Atypical"
"GSM2325555","Canonical"
"GSM2325556","Canonical"
"GSM2325557","Atypical"
"GSM2325558","NonCanonical"
"GSM2325559","Canonical"
"GSM2325560","Atypical"
"GSM2325561","Canonical"
"GSM2325562","Canonical"
"GSM2325563","Canonical"
"GSM2325564","Canonical"
"GSM2325565","Atypical"
"GSM2325566","Atypical"
"GSM2325567","Atypical"
"GSM2325568","Atypical"
"GSM2325569","Canonical"
"GSM2325570","Canonical"
"GSM2325571","Atypical"
"GSM2325572","Canonical"
"GSM2325573","Canonical"
"GSM2325574","Atypical"
"GSM2325575","Canonical"
"GSM2325576","Canonical"
"GSM2325577","Canonical"
"GSM2325578","Canonical"
"GSM2325579","Atypical"
"GSM2325580","Canonical"
"GSM2325581","Canonical"
"GSM2325582","Canonical"
"GSM2325583","Canonical"
"GSM2325584","Canonical"
"GSM2325585","Canonical"
"GSM2325586","Canonical"
"GSM2325587","NonCanonical"
"GSM2325588","Canonical"
"GSM2325589","Canonical"
"GSM2325590","Canonical"
"GSM2325591","Atypical"
"GSM2325592","NonCanonical"
"GSM2325593","Canonical"
"GSM2325594","Atypical"
"GSM2325595","Atypical"
"GSM2325596","Canonical"
"GSM2325597","Atypical"
"GSM2325598","Atypical"
"GSM2325599","Canonical"
"GSM2325600","Atypical"
