"","Canonical","NonCanonical","Atypical"
"165","NOVA1","HMHB1",NA
"166","HTR4","SCARNA10",NA
"167","UGT1A8","H4C13",NA
"168","B3GALT5","GUSBP19",NA
"169","BCAS1","RPS15A",NA
"170","SLC15A2","RPL10",NA
"171","GALNT8","H2AC14",NA
"172","S100A9","RPS28",NA
"173","ABCA13","KCNH3",NA
"174","TTLL6","ATOX1",NA
"175","ENTREP2","SLC6A6",NA
"176","MMP13","NACA2",NA
"177","NPY1R","RPL6",NA
"178","PKD1L1-AS1","LDHAL6A",NA
"179","MST1L","POLR2J2",NA
"180","SLITRK5","RPS10",NA
"181","MFSD4A","RPLP1",NA
"182","OSR1","TYMP",NA
"183","DNAJB7","SCARNA6",NA
"184","COL1A1","ADAMTS7",NA
"185","IL24","LOC284600",NA
"186","PLPP4","H2AC15",NA
"187","CLCA4","SNORA23",NA
"188","OLR1","CYP17A1",NA
"189","LOC285097","MZT2B",NA
"190","VSTM2A-OT1","COX17",NA
"191","TWIST1","MCM9",NA
"192","CWH43","FXR2",NA
"193","THBS2","MUC3B",NA
"194","AKR1B10","TBXA2R",NA
"195","BTNL3","SEC61G",NA
"196","GLDN","ANKRD36BP1",NA
"197","EDN3","FOXJ2",NA
"198","CAPN9","MRPL52",NA
"199","SCNN1B","ATP5PD",NA
"200","UTS2B","TMEM258",NA
"201","SCARA5","PRRC2A",NA
"202","SLC28A2","SNRPGP15",NA
"203","INSM1","H2AC12",NA
"204","MUC4","ZNF276",NA
"205","GLRA2","KBTBD13",NA
"206","NAP1L2","PITPNM1",NA
"207","HMGCS2","RNU2-2P",NA
"208","PDE6A","RPS23",NA
"209","ANO5","UCP3",NA
"210","SOSTDC1","MRPL51",NA
"211","B3GALT1","TYK2",NA
"212","TRPM6","RPL12P16",NA
"213","ADH1B","ZNF282",NA
"214","HCAR3","RPL8",NA
"215","CTHRC1","RPS19",NA
"216","FMN2","SCARNA7",NA
"217","B3GNT6","PDP2",NA
"218","KBTBD12","H6PD",NA
"219","DSCAML1","UQCR11",NA
"220","ADTRP","RPS4X",NA
"221","CHRM1","PPP1R37",NA
"222","NEXMIF","FAM74A4",NA
"223","SFRP2","ZNF713",NA
"224","CMTM2","MRPL53",NA
"225","CSF2","ARID1A",NA
"226","SLC4A4","PYY2",NA
"227","PCSK2","MIATNB",NA
"228","IGHA2","CARMIL1",NA
"229","NOL4","RPS8",NA
"230","MMP11","H2BC13",NA
"231","CA4","RPS14",NA
"232","UGT2B11","RN7SL1",NA
"233","IL6","PCGF3",NA
"234","NRAP","HIPK2",NA
"235","MUC2","PRAC2",NA
"236","INHBA","MRPS24",NA
"237","OR8D4","PLEKHG1",NA
"238","RBM24","ATG2A",NA
"239","SCNN1G","DBI",NA
"240","CD177","PSMB4",NA
"241","AQP9","RPL10A",NA
"242","NXPE4","LINC00028",NA
"243","SIX1","LAMTOR2",NA
"244","RFX6","H2BC17",NA
"245","GP2","H2AC8",NA
"246","SLC30A10","C19orf44",NA
"247","NKX2-2","HEBP2",NA
"248","ABCA12","RNVU1-18",NA
"249","CLDN8","SUPT4H1",NA
"250","SLC26A3","NCOA1",NA
"251","SBSN","PPP1R14A",NA
"252","TNFRSF17","DNMBP",NA
"253","LYPD8","TMEM63B",NA
"254","MS4A12","H2BC9",NA
"255","ADH1A","ZNHIT1",NA
"256","KLK15","H4C4",NA
"257","MMP3","SNORA26",NA
"258","CDKN2B-AS1","ARPC5",NA
"259","OSM","RPL21P44",NA
"260","ATP1A2","MTHFR",NA
"261","PNLIPRP2","RPL28",NA
"262","NEUROD1","LSM3",NA
"263","MMP7","TLN1",NA
"264","IL11","RPL26",NA
"265","PPBP","ARHGEF11",NA
"266","TMIGD1","BTAF1",NA
"267","CXCL8","UBL5",NA
"268","BTNL8","COX6B1",NA
"269","WNT2","SEC61B",NA
"270","CSF3","RPL36",NA
"271","KRT23","FUS",NA
"272","SFRP4","TOMM20L",NA
"273","CA2","BAG3",NA
"274","ADH1C","RPS16",NA
"275","FOXQ1","SLC25A3P1",NA
