"","x"
"GSM2325465","Atypical"
"GSM2325466","Atypical"
"GSM2325467","Atypical"
"GSM2325468","Atypical"
"GSM2325469","Atypical"
"GSM2325470","Atypical"
"GSM2325471","Atypical"
"GSM2325472","NonCanonical"
"GSM2325473","Atypical"
"GSM2325474","Atypical"
"GSM2325475","Atypical"
"GSM2325476","Atypical"
"GSM2325477","Atypical"
"GSM2325478","Atypical"
"GSM2325479","Canonical"
"GSM2325480","Atypical"
"GSM2325481","Atypical"
"GSM2325482","Atypical"
"GSM2325483","Atypical"
"GSM2325484","Atypical"
"GSM2325485","Atypical"
"GSM2325486","Atypical"
"GSM2325487","Atypical"
"GSM2325488","Canonical"
"GSM2325489","Atypical"
"GSM2325490","Atypical"
"GSM2325491","Atypical"
"GSM2325492","Atypical"
"GSM2325493","Atypical"
"GSM2325494","Atypical"
"GSM2325495","Atypical"
"GSM2325496","Atypical"
"GSM2325497","Atypical"
"GSM2325498","Atypical"
"GSM2325499","Atypical"
"GSM2325500","Atypical"
"GSM2325501","Atypical"
"GSM2325502","Atypical"
"GSM2325503","Atypical"
"GSM2325504","Atypical"
"GSM2325505","Atypical"
"GSM2325506","Atypical"
"GSM2325507","Atypical"
"GSM2325508","Atypical"
"GSM2325509","Atypical"
"GSM2325510","Atypical"
"GSM2325511","Canonical"
"GSM2325512","Atypical"
"GSM2325513","Atypical"
"GSM2325514","Atypical"
"GSM2325515","Canonical"
"GSM2325516","NonCanonical"
"GSM2325517","Atypical"
"GSM2325518","Canonical"
"GSM2325519","Atypical"
"GSM2325520","Atypical"
"GSM2325521","Atypical"
"GSM2325522","Atypical"
"GSM2325523","Atypical"
"GSM2325524","Atypical"
"GSM2325525","Atypical"
"GSM2325526","Canonical"
"GSM2325527","Atypical"
"GSM2325528","Atypical"
"GSM2325529","Canonical"
"GSM2325530","Atypical"
"GSM2325531","Atypical"
"GSM2325532","Canonical"
"GSM2325533","Atypical"
"GSM2325534","Atypical"
"GSM2325535","Atypical"
"GSM2325536","Atypical"
"GSM2325537","Atypical"
"GSM2325538","Atypical"
"GSM2325539","Atypical"
"GSM2325540","Atypical"
"GSM2325541","Atypical"
"GSM2325542","Atypical"
"GSM2325543","Atypical"
"GSM2325544","Atypical"
"GSM2325545","Atypical"
"GSM2325546","Atypical"
"GSM2325547","Atypical"
"GSM2325548","Atypical"
"GSM2325549","Atypical"
"GSM2325550","Atypical"
"GSM2325551","Canonical"
"GSM2325552","Atypical"
"GSM2325553","Atypical"
"GSM2325554","Atypical"
"GSM2325555","Atypical"
"GSM2325556","Atypical"
"GSM2325557","Atypical"
"GSM2325558","Atypical"
"GSM2325559","Atypical"
"GSM2325560","Canonical"
"GSM2325561","Atypical"
"GSM2325562","Atypical"
"GSM2325563","Atypical"
"GSM2325564","Atypical"
"GSM2325565","Atypical"
"GSM2325566","Atypical"
"GSM2325567","Canonical"
"GSM2325568","Canonical"
"GSM2325569","Atypical"
"GSM2325570","Atypical"
"GSM2325571","Atypical"
"GSM2325572","Atypical"
"GSM2325573","Atypical"
"GSM2325574","Canonical"
"GSM2325575","Atypical"
"GSM2325576","Atypical"
"GSM2325577","Atypical"
"GSM2325578","Canonical"
"GSM2325579","Atypical"
"GSM2325580","Atypical"
"GSM2325581","Atypical"
"GSM2325582","Atypical"
"GSM2325583","Atypical"
"GSM2325584","Canonical"
"GSM2325585","Atypical"
"GSM2325586","Atypical"
"GSM2325587","Atypical"
"GSM2325588","Atypical"
"GSM2325589","Atypical"
"GSM2325590","Atypical"
"GSM2325591","Atypical"
"GSM2325592","Atypical"
"GSM2325593","Atypical"
"GSM2325594","Atypical"
"GSM2325595","NonCanonical"
"GSM2325596","Atypical"
"GSM2325597","Atypical"
"GSM2325598","Atypical"
"GSM2325599","Atypical"
"GSM2325600","Atypical"
