"","Canonical","NonCanonical","Atypical"
"180","MYT1L","PLAAT5",NA
"181","PRSS55","CALML6",NA
"182","DCK","ADGRF3",NA
"183","KLF14","SYNGAP1",NA
"184","MYH7","CST5",NA
"185","MARCKSL1","ADCY5",NA
"186","INHA","RORB",NA
"187","SYCE1","LCNL1",NA
"188","LHX9","CASR",NA
"189","LOC441239","PTCRA",NA
"190","PLD5","CYLC1",NA
"191","OPRM1","RAX",NA
"192","RHAG","GTF3C6",NA
"193","CCDC166","GABRG3",NA
"194","NPM2","GARIN3",NA
"195","FFAR3","LRRTM4",NA
"196","CD7","GOLGA2P10",NA
"197","PAGE3","MTNR1B",NA
"198","SSX2","LZTS1",NA
"199","TMEM132E","SYNC",NA
"200","PACRG","ICAM4",NA
"201","EVA1B","ELFN2",NA
"202","LDHAL6A","MAPK4",NA
"203","GPR162","RXRG",NA
"204","PRL","PFN3",NA
"205","LHX5","NTNG1",NA
"206","UQCRFS1","GAD2",NA
"207","OR7D4","PRR32",NA
"208","TGM4","CLNS1A",NA
"209","ACTR2","FXYD1",NA
"210","FUT9","OR5H14",NA
"211","MTUS2","SSX2",NA
"212","FRMPD4","PDZD4",NA
"213","AWAT1","LCE1F",NA
"214","LYPLA1","NYAP2",NA
"215","CNGA3","ODF4",NA
"216","WDR64","OR2W5P",NA
"217","ARL6IP1","SPTA1",NA
"218","NUDT21","CERS4",NA
"219","OR2H2","DPRX",NA
"220","SLITRK1","ETFA",NA
"221","CATSPER1","CUX2",NA
"222","RAD21L1","ZIC3",NA
"223","ARHGAP22","GPR6",NA
"224","PMCHL1","SPTBN4",NA
"225","PCDHA6","LHX3",NA
"226","NMBR","TMCC2",NA
"227","SYCN","CCDC166",NA
"228","MTNR1B","SRSF3",NA
"229","SLBP","ZSCAN5B",NA
"230","OR5C1","ADAM7",NA
"231","CRH","OR6K2",NA
"232","RIMS1","GFAP",NA
"233","EXOC3L2","NMBR",NA
"234","NEUROD6","MC2R",NA
"235","SRSF8","EPO",NA
"236","FGF13","EPHA6",NA
"237","GRM5","OR2H2",NA
"238","COX6C","ACOT13",NA
"239","ADRA1A","OR9G1",NA
"240","F11","SIGLEC8",NA
"241","CLEC2A","GAL3ST3",NA
"242","RAC3","SPANXN3",NA
"243","NRXN1","SLC6A15",NA
"244","TMBIM6","ADD2",NA
"245","PAQR7","LOXHD1",NA
"246","SPPL2A","MAS1L",NA
"247","LRTM2","TLX3",NA
"248","OR4X2","CRISP3",NA
"249","PLPPR3","SRP14",NA
"250","DPP6","OSTC",NA
"251","SRP14","CDH10",NA
"252","OTX2","SLC6A19",NA
"253","CACNG8","PROK1",NA
"254","DCLK3","LCE1B",NA
"255","ABCD3","IL36A",NA
"256","NUTM1","LCE4A",NA
"257","MC2R","LYZL6",NA
"258","CHCHD2","TMEM132E",NA
"259","HRK","SNTG2",NA
"260","FAM47B","IARS2",NA
"261","SLC4A3","SPMAP2",NA
"262","HMCN2","MMP23B",NA
"263","LOXHD1","USP26",NA
"264","SLC28A1","ARPP21",NA
"265","LMF1","CRHR1",NA
"266","OR6M1","ZFP91",NA
"267","C4orf17","GOT1L1",NA
"268","LCE2D","TDH",NA
"269","NTNG1","PLEKHG7",NA
"270","EWSAT1","CCBE1",NA
"271","GARIN3","PCDHA11",NA
"272","KRT85","CDH23",NA
"273","LHX3","CELF4",NA
"274","LINC02843","OR5C1",NA
"275","SIRPB2","FAM47B",NA
"276","CCR4","OR11A1",NA
"277","CASR","CADM2",NA
"278","TMEM123","PAEP",NA
"279","PHF24","SCNN1D",NA
"280","LINC01193","ADAM29",NA
"281","FAM135B","DEFB125",NA
"282","SUN5","FAM135B",NA
"283","TCF15","SSTR4",NA
"284","FCN2","CCDC106",NA
"285","PCDHA13","LCE2D",NA
"286","ADRB3","RAC3",NA
"287","OR7C2","HMX3",NA
"288","ARSH","DPP6",NA
"289","MYCBPAP","C12orf54",NA
"290","EPHA6","ADAMTSL1",NA
"291","PPP1R3A","NR1H2",NA
"292","OR5H14","PRSS55",NA
"293","LCE1F","SLC26A5",NA
"294","OR2M7","CPA2",NA
"295","HMX3","MARK4",NA
"296","APOF","SIX3",NA
"297","SCYL2","SOX3",NA
"298","CFAP54","CHCHD2",NA
"299","ENOPH1","OR7D4",NA
"300","EIF4E1B","SLC24A4",NA
"301","SLC39A12","PPP1R3A",NA
"302","CACNA1G","SLC25A47",NA
"303","SCNN1D","HMCN2",NA
"304","TRAPPC4","PAX4",NA
"305","SLITRK4","PKD1L2",NA
"306","CCBE1","SPEM1",NA
"307","CCN5","PCDH11Y",NA
"308","NDUFAB1","CFAP221",NA
"309","GRID2IP","TCEAL6",NA
"310","SSTR4","C10orf53",NA
"311","ATP5MG","CLCNKB",NA
"312","WNT9B","CLEC4M",NA
"313","RGS8","TMEM174",NA
"314","RBFOX3","GDF10",NA
"315","PAEP","CIMIP4",NA
"316","MIR1915HG","LINC01565",NA
"317","NTN3","CACNA1G",NA
"318","PLS1","TMEM232",NA
"319","SPANXN3","COX7A1",NA
"320","XKR4","SPOCK3",NA
"321","SPMAP2","CTNNA3",NA
"322","ODF4","TNR",NA
"323","AKR1B15","MORN3",NA
"324","HRH3","GSX1",NA
"325","PAX4","TMEM95",NA
"326","PYY2","LINC02870",NA
"327","MGAT5B","F11",NA
"328","MRPL33","PCSK2",NA
"329","TCEA2","ARHGAP22",NA
"330","CCDC168","INHA",NA
"331","TGFB1","LVRN",NA
"332","RNASE3","ALPI",NA
"333","RORB","NDST4",NA
"334","DHFR","ERICH3",NA
"335","RXRG","SLC14A2",NA
"336","KATNA1","UQCRFS1",NA
"337","ZNF563","ELOVL3",NA
"338","BSX","OR4X2",NA
"339","NIPA1","AWAT1",NA
"340","LCE1B","EWSAT1",NA
"341","DPRX","LINC00632",NA
"342","SP7","RNASE3",NA
