"","Canonical","NonCanonical","Atypical"
"1","KCNIP2","KCNIP2","COL14A1"
"2","MLIP","MLIP","FLJ33534"
"3","MYOZ1","PCDHA1","BMP8A"
"4","LOC339059","BMP8A","GABBR2"
"5","SLC5A10","OR8B4","LGALS14"
"6","PCDHA1","SLC5A10","ASCL3"
"7","VSTM5","WNT10B","PRODH2"
"8","CRX","TEKTL1","WNT8B"
"9","LINC00313","MYOZ1","CNIH3"
"10","WNT10B","FLJ33534","ZSCAN23"
"11","TEKTL1","CRX","FYB2"
"12","CACNG8","ZFP57","HEPN1"
"13","CRMA","NLRP4","FBP2"
"14","GGN","PFN4","OR10A7"
"15","MAP3K10","XAGE2","XAGE2"
"16","TLCD3B","TLCD3B","SLPI"
"17","LHX3","LOC339059","CYP4F22"
"18","TTLL6","LINC02447","PAK3"
"19","LCE1F","MAP3K10","ABCG4"
"20","OR8B4","C7","GRIN2B"
"21","PFN4","TPSD1","TRIM48"
"22","TPSD1","PAK3","LOXHD1"
"23","MC1R","LHX3","ULBP3"
"24","AMELX","DCSTAMP","LINC00268"
"25","CYP4A22","FAM186A",NA
"26","AP4S1","NXNL2",NA
"27","OR8H2","HRNR",NA
"28","C7","FGF6",NA
"29","PRR29","OR51G2",NA
"30","INCA1","CMAHP",NA
"31","XAGE2","FBP2",NA
"32","BMP8A","GRIN2B",NA
"33","TTBK1","LINC00313",NA
"34","PEX5L","PRR29",NA
"35","GYPA","GYPA",NA
"36","PRSS8","PYDC2",NA
"37","DCSTAMP","SPMAP1",NA
"38","PYDC2","SPEG",NA
"39","PCDHGA2","TSPOAP1",NA
"40","LCE1A","RGS6",NA
"41","ZFP57","ANKRD2",NA
"42","CMAHP","COL14A1",NA
"43","GPSM1","TCHHL1",NA
"44","OSBP2","OR8H2",NA
"45","CLEC17A","LCE1F",NA
"46","ATXN7L2","ZSCAN23",NA
"47","ADGRE2","PEX5L",NA
"48","PAK3","OSBP2",NA
"49","RORB","PRODH2",NA
"50","SPMAP1","PATE1",NA
"51","RGS6","ADGRE2",NA
"52","NXNL2","FYB2",NA
"53","LYRM9","ZBTB6",NA
"54","CMPK1","VGLL2",NA
"55","PIGF","MATN1",NA
"56","TMEM33","HELT",NA
"57","OR1Q1","PTPRS",NA
"58","ARMS2","ACSM5",NA
"59","LCE1D","AGBL1",NA
"60","FAM186A","CLEC17A",NA
"61","TCHHL1","ZNF575",NA
"62","GNRH2","SPANXN4",NA
"63","GAS2L2","DBNDD1",NA
"64","SPANXN2","OR52B6",NA
"65","FCER2","VSTM5",NA
"66","NLRP4","C12orf42",NA
"67","ACSM1","TRIM48",NA
"68","SYPL1","SEC1P",NA
"69","ZNF28","CCDC177",NA
"70","SH3BP5L","FCER2",NA
"71","SLC39A6","SPATA31H1",NA
"72","PTPRS","GAS2L2",NA
"73","IQCN","OR4A15",NA
"74","HRNR","SMCO1",NA
"75","SFXN1","CYP4F22",NA
"76","SEZ6L","GNRH2",NA
"77","CRYGC","GAMT",NA
"78","SPATA31H1","TEKT1",NA
"79","MINK1","IQCN",NA
"80","GRIN2B","LYRM9",NA
"81","VGLL2","CYP4A22",NA
"82","TSPOAP1","GPSM1",NA
"83","OR52B6","INCA1",NA
"84","PPP3R1","AQP7",NA
"85","AVPR1A","PCDHGA2",NA
"86","NTSR2","ZNF710",NA
"87","PIANP","SPRR4",NA
"88","HAP1","AP4S1",NA
"89","MATN1","TMEM130",NA
"90","GP9","ERICH3",NA
"91","IQSEC2","GP9",NA
"92","MYO3A","ELN",NA
"93","WNT9B","CSH1",NA
"94","TMEM130","PSG9",NA
"95","SYT12","WNT9B",NA
"96","TOMM20","VCX2",NA
"97","PGM5","IQSEC2",NA
"98","TNFRSF10A","GGN",NA
"99","TMX1","OR51B2",NA
"100","IGLC1","DLGAP3",NA
"101","SPANXN4","CACNG8",NA
"102","YBX2","SEZ6L",NA
"103","NFKBID","HEPN1",NA
"104","ERI2","OR5AK2",NA
"105","SEZ6L2","TRIM46",NA
"106","ALX4","NUTM1",NA
"107","OAZ1","OR1Q1",NA
"108","TMEM266","HES7",NA
"109","ANKRA2","ALX4",NA
"110","ITIH4","VSX1",NA
"111","FBP2","TTLL6",NA
"112","PRCD","SPANXN2",NA
"113","ANO2","MC1R",NA
"114","PKN2","CDRT15",NA
"115","ACSM5","PKNOX2",NA
"116","HELT","CRMA",NA
"117","GARIN2","SHCBP1L",NA
"118","PKNOX2","TMEM266",NA
"119","RNF40","NFKBID",NA
"120","GPR26","APC2",NA
"121","SHISA2","GPR179",NA
"122","GPR162","IL21",NA
"123","PTPN11","GPBAR1",NA
"124","ADM2","LCE1A",NA
"125","GPBAR1","ZNF99",NA
"126","SEC1P","WNT8B",NA
"127","VSX1","YWHAEP7",NA
"128","EN1","RORB",NA
"129","SPEG","PGM5",NA
"130","HPCA","SCUBE1",NA
"131","NCDN","ZBTB46",NA
"132","MMP17","BLOC1S3",NA
"133","TYR","LCE1D",NA
"134","TGM5","ANO2",NA
"135","JKAMP","PLCB2",NA
"136","PTPRT","NOTCH1",NA
"137","GRIK5","CCDC13",NA
"138","PPP1CC","ASCL3",NA
"139","HTR3D","GRXCR2",NA
"140","NHLH1","LRTM1",NA
"141","ELN","B3GAT1",NA
"142","AQP7","KIF9",NA
"143","FLJ33534","TTBK1",NA
"144","SMCP","SPAM1",NA
"145","LRTM1","AWAT1",NA
"146","GALNT16","NTSR2",NA
"147","TMPRSS6","SLC26A8",NA
"148","KIF9","HSD17B14",NA
"149","STAC2","ADAMTS16",NA
"150","NELL1","MYO16",NA
"151","INSIG2","OR10A7",NA
"152","KRIT1","PPP3R1",NA
"153","PSG9","FUT5",NA
"154","DENND1C","REG1CP",NA
"155","SLC38A3","CSMD2",NA
"156","UGT3A2","GPR149",NA
"157","OR51G2","SYPL1",NA
"158","KRT83","NINL",NA
"159","SLC6A17","LINC00268",NA
"160","MAJIN","ENHO",NA
"161","H2AC21","CMTR2",NA
"162","CCT4","OR8K1",NA
"163","MAT2A","SEC14L3",NA
"164","TFEB","TYR",NA
"165","A4GNT","ADAMTS15",NA
"166","ERICH3","OR10V1",NA
"167","MEPE","LINC02881",NA
"168","PCSK2","AMELX",NA
"169","SPACA4","FCRL6",NA
"170","ADCY8","SLC35G3",NA
"171","NTNG1","LRRC4C",NA
"172","IFT122P3","PRSS55",NA
"173","FGF6","LINC00598",NA
"174","ZNF575","OR4F13P",NA
"175","TMEM74","SAMD15",NA
"176","TBX20","CCDC27",NA
"177","OR51B2","LY6G6C",NA
"178","RRM1","MAJIN",NA
"179","GRXCR2","RNF112",NA
"180","MSH6","NTNG1",NA
"181","OR10K1","CHID1",NA
"182","ETV7","LOXHD1",NA
"183","PLIN4","GPR151",NA
"184","SFMBT2","MIOX",NA
"185","NKAIN2","CRHR1",NA
"186","CDRT15","KRT79",NA
"187","DLX2","SLC22A20P",NA
"188","RAB3IL1","FRMPD1",NA
"189","LRRC4C","IGFBPL1",NA
"190","RPH3A","CRYGC",NA
"191","PCDHA4","SLC38A3",NA
"192","KMT5C","RTL9",NA
"193","PATE1","DCAF12L1",NA
"194","SLC22A20P","TAL2",NA
"195","SLC35G3","TGM5",NA
"196","HSD17B14","SULT6B1",NA
"197","DCK","GPR61",NA
"198","SPAM1","CADM4",NA
"199","CACNA1A","PCDHA4",NA
"200","B3GAT1","ITIH4",NA
"201","ANKRD2","PRCD",NA
"202","GPR179","RBM7",NA
"203","PSMB5","CACNA1C",NA
"204","ZBTB46","TOMM20",NA
"205","FCHO2","NELL1",NA
"206","TEKT1","C5orf52",NA
"207","CIMAP1A","ARMS2",NA
"208","CLN8","OR2A25",NA
"209","OPRPN","GLP1R",NA
"210","CDH8","ADGRG4",NA
"211","DCAF12L1","AHDC1",NA
"212","SAMD15","ATXN7L2",NA
"213","TRIM48","OR2AG1",NA
"214","NSG2","C22orf15",NA
"215","ATP1A2","HPCA",NA
"216","ZSCAN23","OR4K1",NA
"217","GPR151","PRSS41",NA
"218","LRRC10B","BLOC1S2",NA
"219","EFCC1","ACSM1",NA
"220","ATG9B","GPC5",NA
"221","JPH4","NANOG",NA
"222","FYB2","SPMIP9",NA
"223","ANKRD65","OPRPN",NA
"224","BDP1","PIK3R5",NA
"225","AWAT1","HTR3D",NA
"226","RASAL3","KCNQ2",NA
"227","PPP1R15A","ITGA10",NA
"228","RPS5","EN1",NA
"229","GBX2","BTBD17",NA
"230","HCN3","MTNR1B",NA
"231","NANOG","ODAPH",NA
"232","MRGPRE","LINC02145",NA
"233","REG1CP","KCNJ4",NA
"234","GLP1R","GALP",NA
"235","APC2","DENND1C",NA
"236","GPR61","OR8J1",NA
"237","NXT2","TMX1",NA
"238","SEC14L3","TMEM33",NA
"239","ANXA13","NHLH1",NA
"240","MYH3","YBX2",NA
"241","OR2AG1","PIGF",NA
"242","ZNF99","ADM2",NA
"243","MYO16","KRT83",NA
"244","SMYD1","EPG5",NA
"245","GDF3","CDH8",NA
"246","OR2M7","CAMKV",NA
"247","HES7","CMPK1",NA
"248","SHCBP1L","INHBC",NA
"249","NPAS4","CUBN",NA
"250","CFP","CACNG7",NA
"251","KLHL10","SLA2",NA
"252","SLC45A2","CLEC1A",NA
"253","CYP4F22","NFIC",NA
"254","LILRA3","INS",NA
"255","ASIC4","MYO18B",NA
"256","CIMAP1D","SHISA2",NA
"257","DLGAP3","GPR26",NA
"258","ADAMTS16","OR6X1",NA
"259","SLC9A8","PIK3CD",NA
"260","PRODH2","CBARP",NA
