"","Canonical","NonCanonical","Atypical"
"146","CTSS","CCNK","TMEM256"
"147","CCDC167","RPL10L","COX17"
"148","CPEB2","BOLA2B","RPL10A"
"149","ABCA8","SEC61G","AJUBA"
"150","CAMK2D","H2AZ2","ZC3H18"
"151","COA1","EIF3H","BRCA2"
"152","BCAR3","H4C3","FAU"
"153","ZNF575","ENY2","RGS10"
"154","CDCA5","SNRPF","TLN1"
"155","MIR4435-2HG","TMEM147","MGST2"
"156","CCDC68","RPL23AP87","EGFL6"
"157","EGFL6","LNPK","MT1A"
"158","TOP1MT","UBL5","RPL36AP33"
"159","NEDD4L","SEM1","ZNF703"
"160","OR51E2","RPL23A","DIAPH3"
"161","CMAHP","RNU12","ACAN"
"162","KLF7","RPL10","SLC7A5"
"163","PDCD5","SNORA73B","TMEM238"
"164","INTS6L","RPL21","ARHGAP29"
"165","UGP2","H4C2","NDUFA4"
"166","TADA2B","NMB","MAP4K4"
"167","OSR1","MRPL36","C15orf48"
"168","GPX1","EEF1D","RPS25"
"169","SPPL2A","MICOS13","KDR"
"170","EBPL","NDUFAF8","HCST"
"171","FAM13A-AS1","H2BC3","TSPO"
"172","CA7","TMEM160","PPM1H"
"173","BMAL2","SF3B5","EN2"
"174","MYOT","CMC4","PFDN5"
"175","VSTM2A-OT1","LOC641746","FGFRL1"
"176","CBX2","RPS27A","LTBP4"
"177","PTGR3","ADCY6","RPS27A"
"178","CA12","RPL37","NOTCH4"
"179","RECQL4","ZNF791","KLF7"
"180","ZFAS1","RPS7","GTF2IRD1"
"181","KCNIP4","BID","CYB5A"
"182","RNF152","RBX1","STC2"
"183","STIM1","ERH","DBI"
"184","E2F1","IL17RA","PDGFB"
"185","GOLM1","H2BC11","LGALS2"
"186","ENTPD5","PSMA2","ENC1"
"187","PTPN21","RPS25","CMIP"
"188","FAM135B","RPS21","SQOR"
"189","NME1","GTF2H5","MED12"
"190","ZZEF1","ANKRD36BP1","HSD17B11"
"191","TPH1","FAU","H1-2"
"192","LINC01315","UQCC3","FUCA1"
"193","PJA2","RPL29","ETV4"
"194","TEAD4","RPL21P44","PLS3"
"195","CDK5","CMSS1","CEP72"
"196","TAPT1","CHCHD2","UBA52"
"197","EIF2AK3","TAOK3","SLC39A10"
"198","HIKESHI","SNHG32","C19orf33"
"199","SMPDL3A","ATP5F1E","ASIC1"
"200","KIF5C","ICE2","SHD"
"201","HEXIM1","DBI","RPL23AP7"
"202","UBE2T","SYNJ1","BRD4"
"203","SPIB","UXT","TXN"
"204","WDR7","H4C6","ECI2"
"205","RPP40","RPL12P16","FOXQ1"
"206","LRRC20","H2BC8","VWA1"
"207","APOBR","RPL24","ACTN3"
"208","TMEM9","RPL29P2","MTSS2"
"209","RANBP1","RPS19","SNORA53"
