"","Canonical","NonCanonical","Atypical"
"176","CASR","MAT2B",NA
"177","BPIFB1","PLPPR3",NA
"178","FSCN2","HS6ST3",NA
"179","NR1H2","PLD3",NA
"180","CACNG8","STMN4",NA
"181","GSX2","DIRAS1",NA
"182","MMP24","SUN5",NA
"183","REEP5","SYT8",NA
"184","REXO1L1P","CACNG8",NA
"185","ALPI","KRT73",NA
"186","IL9R","GFRA2",NA
"187","KRT84","SLC25A48",NA
"188","DUOXA2","KNDC1",NA
"189","GRIN2A","VWA3B",NA
"190","MTNR1B","OR9G1",NA
"191","OR9G1","CAPRIN1",NA
"192","ISYNA1","RIMS1",NA
"193","HPCAL4","IL9R",NA
"194","FAR1","FFAR3",NA
"195","CLEC4M","CLCNKB",NA
"196","PAX6","BLK",NA
"197","TFAP2B","SLC22A17",NA
"198","PRPF40A","INMT",NA
"199","NR5A1","KRT84",NA
"200","NXNL1","CRHR1",NA
"201","DUSP8","PLK3",NA
"202","ZNF335","GNAT1",NA
"203","FUT7","PHF24",NA
"204","ARMH1","LHX9",NA
"205","PHYHD1","SLC6A19",NA
"206","CNGB1","GJA8",NA
"207","TCL6","UGT3A1",NA
"208","CNGA3","KLK2",NA
"209","MTUS2","TM7SF2",NA
"210","DNAJB14","BTBD17",NA
"211","C10orf53","TCL6",NA
"212","TEKT1","ANKRD17",NA
"213","GNAT1","GNG7",NA
"214","KLK2","RAX",NA
"215","KNDC1","NR5A1",NA
"216","SLC22A8","CLEC4M",NA
"217","TCEA2","ST8SIA5",NA
"218","MARCHF10","C10orf53",NA
"219","TEX26","LINC02870",NA
"220","TSSK6","SPATA3",NA
"221","BOD1L2","GAD2",NA
"222","WFIKKN2","EIF4G2",NA
"223","SPMAP2","SNCB",NA
"224","ZNF205","GABRR3",NA
"225","IFITM5","DPP6",NA
"226","CIBAR2","SCYL2",NA
"227","CELF4","HSPG2",NA
"228","PCDHA7","TFAP2B",NA
"229","ADRB3","TMEM190",NA
"230","SLC25A48","NPB",NA
"231","ELFN2","TAS1R1",NA
"232","SCYL2","PDE1B",NA
"233","GRIK4","CRH",NA
"234","OTOS","CLDN19",NA
"235","TMEM213","FOXN4",NA
"236","CD79B","C1QTNF2",NA
"237","MYT1L","PPIG",NA
"238","CCDC166","NCR3",NA
"239","WSCD2","MIR1915HG",NA
"240","PROK1","BOD1L2",NA
"241","CLCNKB","WNT3A",NA
"242","SIPA1","CSMD1",NA
"243","CRHR1","PCDHA7",NA
"244","PRSS27","CRHR2",NA
"245","KRBA2","OTOS",NA
"246","PTGER1","CNGA3",NA
"247","ALOX15B","GSX2",NA
"248","GJA8","HPCAL4",NA
"249","ACAP3","TMED2",NA
"250","HTR6","DSCAML1",NA
"251","RSPO4","TMEM213",NA
"252","NKAIN1","MARK4",NA
"253","SOST","BSX",NA
"254","TTLL8","MTUS2",NA
"255","WNT5B","SF3B1",NA
"256","GCK","PAEP",NA
"257","CPA2","GFRA3",NA
"258","BRME1","CPA2",NA
"259","FFAR3","FOXB1",NA
"260","PCDHA13","GRIK4",NA
"261","PLK3","C10orf62",NA
"262","SRRM4","NAA25",NA
"263","IQCF5","ACAP3",NA
"264","SPATA3","DUSP8",NA
"265","OR5C1","CYP17A1",NA
"266","ACTL9","BRME1",NA
"267","KCNN1","BPIFA4P",NA
"268","SLC6A19","REXO1L1P",NA
"269","RTN4RL2","ZPBP",NA
"270","GABRG3","YWHAQ",NA
"271","RAB18","CNGB1",NA
"272","C10orf62","OXT",NA
"273","PYY2","ITGA2B",NA
"274","SNCB","MYOZ3",NA
"275","GMNC","ATP8B3",NA
"276","ACTR2","PHYHD1",NA
"277","INSRR","HRK",NA
"278","CERS4","DLGAP2",NA
"279","MLST8","DUOXA2",NA
"280","GPR3","IRS4",NA
"281","SAG","STOML3",NA
"282","ITGA2B","TREX2",NA
"283","NPB","MARCHF10",NA
"284","INMT","SOST",NA
"285","ARHGAP33","C12orf54",NA
"286","COL26A1","MTNR1B",NA
"287","CBS","NR1H2",NA
"288","DPYSL5","CYLC1",NA
"289","CATIP","CFAP92",NA
"290","CST5","FBXL19",NA
"291","BSX","DEFB132",NA
"292","GAD2","TEX26",NA
"293","CRHR2","FUT7",NA
"294","TAS1R1","DKKL1",NA
"295","RIMS1","SYPL2",NA
"296","CFAP92","IL31RA",NA
"297","CACNA1B","SRRM4",NA
"298","RXRG","CCDC40",NA
"299","PDE1B","ENPP7",NA
"300","PDE2A","RTN4RL2",NA
"301","CLDN19","BPIFA2",NA
"302","PHF24","MMP24",NA
"303","FAM163B","GCK",NA
"304","DR1","UBASH3A",NA
"305","LRFN2","FAM171A2",NA
"306","TCF15","LOC441239",NA
"307","PDE6G","ADAMTS18",NA
"308","APC2","RSPO4",NA
"309","NRN1L","SCN2B",NA
"310","POR","PRDM12",NA
"311","IL27","PROK1",NA
"312","SUN5","GHRHR",NA
"313","CUX2","MAPT",NA
"314","PRDM12","WSCD2",NA
"315","SPRNP1","SPDYE4",NA
"316","TCF23","GPR3",NA
"317","KCNT1","TCF23",NA
"318","MYCBPAP","ABCA4",NA
"319","ENPP7","ABCB11",NA
"320","VWA3B","CBS",NA
"321","RHO","OR10G7",NA
"322","CYP2D6","MYO18B",NA
"323","RBFOX3","ZNF205",NA
"324","CARD11","FRMPD1",NA
"325","GUCA1A","CNTN2",NA
"326","DGCR5","ATP1A4",NA
"327","C1QTNF2","OR7A10",NA
"328","DSCAML1","KY",NA
"329","CLDN6","NXNL1",NA
"330","DOK7","PCSK2",NA
"331","ARID3C","CD300LB",NA
"332","FAM171A2","NKAIN1",NA
"333","ANKRD17","GABRG3",NA
"334","CNTN2","TEKT1",NA
"335","BPIFA2","CACNA1I",NA
"336","COX20","NRN1L",NA
"337","LINC01565","ARMH1",NA
"338","ISCU","SPMAP2",NA
"339","OSTC","IQCF5",NA
"340","PAX1","FUT5",NA
"341","SRSF3","LCE4A",NA
"342","CYLC1","TNFRSF18",NA
"343","SRY","CACNA1H",NA
"344","SLC25A47","RXRG",NA
"345","PRDM9","OR10H5",NA
"346","REEP2","OR5C1",NA
"347","ABCA4","REEP2",NA
"348","HS6ST3","RELB",NA
"349","KLK5","AQP4",NA
"350","ALOXE3","PDCD1",NA
"351","PRL","ALDH1L1",NA
"352","TRIM50","COX20",NA
"353","PRSS57","RPL39",NA
"354","FOXH1","WFIKKN2",NA
"355","HOXB1","ACOXL",NA
"356","CIMAP1B","PTGER1",NA
"357","MAPT","U2SURP",NA
"358","TCP10L","ADD2",NA
"359","MATK","TMEM132E",NA
"360","C22orf42","SKP1",NA
"361","HNRNPA3","CARD11",NA
"362","TRBV19","CHRNB4",NA
"363","ADAMTS18","SSTR3",NA
"364","LOC441239","COL26A1",NA
"365","FOXB1","HTR6",NA
"366","LAMB4","GRM5",NA
"367","AMHR2","RAB18",NA
"368","CACNA1I","RAD21L1",NA
"369","GSG1","CD79B",NA
