"","Canonical","NonCanonical","Atypical"
"1","BCLAF1","NEUROD6","LPL"
"2","CD164","OR2H2","HOXC11"
"3","PSG9","SYNPO2L","KCNC2"
"4","NEUROD6","SPTA1",NA
"5","NXNL1","SLC1A6",NA
"6","GOLGA2P10","CCKAR",NA
"7","HCN2","ATRNL1",NA
"8","SLC1A6","CDK5R2",NA
"9","LOC391322","GOLGA2P10",NA
"10","OR2H2","PSG9",NA
"11","UNC13D","CD37",NA
"12","PCDHA7","CTNNA3",NA
"13","CALML6","LOC654780",NA
"14","ELAVL3","OR2A12",NA
"15","PPP1R27","RIMS1",NA
"16","PROK1","CD164",NA
"17","RPS13","ABCB11",NA
"18","FBXL19","OR7A17",NA
"19","ICAM4","OR7A10",NA
"20","OR7A17","SLC5A10",NA
"21","CD37","LINC00272",NA
"22","SYNGAP1","SYNDIG1L",NA
"23","DHH","SLC25A48",NA
"24","TMEM126B","IL1RAPL1",NA
"25","DERA","RIMS2",NA
"26","CDK5R2","PCDH10",NA
"27","LOC654780","TRIML1",NA
"28","CALM2","CAVIN4",NA
"29","TEX13A","HCN2",NA
"30","PDCD10","LRFN2",NA
"31","LRFN2","RELB",NA
"32","ARMT1","PCDHA7",NA
"33","LYPLA1","DLG2",NA
"34","EVA1B","TRPM3",NA
"35","NUTM1","SFTPA1",NA
"36","CYP4F8","ELAVL3",NA
"37","SLC5A10","FBXL19",NA
"38","C9orf78","LOC391322",NA
"39","NDUFA4L2","BCLAF1",NA
"40","FAM163A","FAM47B",NA
"41","CREBZF","BAALC",NA
"42","PDCD1","ICAM4",NA
"43","CAVIN4","CYP4F8",NA
"44","CLNS1A","OR5J2",NA
"45","ALDH9A1","TGM4",NA
"46","IFITM5","HS6ST3",NA
"47","SPTA1","DHH",NA
"48","DLG2","PPP1CC",NA
"49","SLC34A2","RHAG",NA
"50","UFL1","VSX1",NA
"51","CDC42","NDST4",NA
"52","INTS1","NXNL1",NA
"53","CFAP92","APOF",NA
"54","SAMD14","PPP1R27",NA
"55","SLC35A3","SYNGAP1",NA
"56","ACAP3","MOBP",NA
"57","ABCB11","SLC39A12",NA
"58","TGM4","GABRR3",NA
"59","EVPLL","LYZL6",NA
"60","APOF","TMBIM6",NA
"61","DYNLT1","IL27",NA
"62","TMEM40","OR7G2",NA
"63","EIF5","OR10A3",NA
"64","NDST4","PROK1",NA
