"","Canonical","NonCanonical","Atypical"
"178","CD164","GDF10",NA
"179","NTN3","LRRTM4",NA
"180","MTNR1B","TLX3",NA
"181","SLC28A1","SLC6A19",NA
"182","COX6C","LZTS1",NA
"183","SLC2A7","SPEM1",NA
"184","FUT5","CFAP221",NA
"185","MTUS2","SPX",NA
"186","LHX3","PFN3",NA
"187","CELF4","RAX",NA
"188","LINGO1","LCE1B",NA
"189","FUT9","PASD1",NA
"190","CADM3","USP26",NA
"191","LOXHD1","PRSS55",NA
"192","C10orf53","BPIFA4P",NA
"193","TSKS","EPO",NA
"194","MASP1","GOT1L1",NA
"195","CIAO2A","LCE2D",NA
"196","CADM2","GFAP",NA
"197","MORN3","MORN3",NA
"198","CATSPER1","TDH",NA
"199","CASR","PDZD4",NA
"200","PAGE3","CPA2",NA
"201","GOLGA7B","LOXHD1",NA
"202","SSX2","ERICH3",NA
"203","OTOR","LINC02870",NA
"204","WNT3A","SIGLEC8",NA
"205","ZIC3","FAM135B",NA
"206","SP7","SOX3",NA
"207","RGS8","DAND5",NA
"208","SPANXN5","OR9G1",NA
"209","KIAA0825","ARPP21",NA
"210","PCSK2","CTNNA3",NA
"211","TULP1","OR5H14",NA
"212","SLC22A2","C10orf53",NA
"213","LINC01623","ADAM29",NA
"214","FAM24A","TMEM132E",NA
"215","TMEFF2","SIX3",NA
"216","PRSS21","SSX2",NA
"217","LHX5","GARIN3",NA
"218","CHD5","IL36A",NA
"219","HMCN2","PAX4",NA
"220","AWAT1","DEFB125",NA
"221","OR7A10","C12orf54",NA
"222","CLDN6","GTF3C6",NA
"223","CCDC168","ADD2",NA
"224","DPP6","C2orf73",NA
"225","GAD2","GAL3ST3",NA
"226","PLPPR3","CDH10",NA
"227","MYCBPAP","OR4X2",NA
"228","SSTR4","ASTN1",NA
"229","ABCB5","SPOCK3",NA
"230","TMCO5A","PCARE",NA
"231","SOX3","ZNF229",NA
"232","TEKT1","GPR6",NA
"233","SLC6A11","OTOR",NA
"234","C9","SSTR4",NA
"235","LINC01565","FUT7",NA
"236","HRK","FGF13",NA
"237","KY","GARIN1B",NA
"238","MAP1LC3C","TMCO5A",NA
"239","LRRC55","KCNG1",NA
"240","GDF10","GMNC",NA
"241","NEUROD6","RAC3",NA
"242","TMEM232","LINC01565",NA
"243","SERPINB11","LINC01623",NA
"244","CLEC1B","CNGA3",NA
"245","SPPL2A","PCSK2",NA
"246","ZSCAN5B","CERS4",NA
"247","SLITRK4","TMEM232",NA
"248","MAPT","SPANXN3",NA
"249","OTX2","OR5C1",NA
"250","PCDH11Y","CHCHD2",NA
"251","SIX3","PCDH11Y",NA
"252","TDH","SLC12A3",NA
"253","ASTN1","CLDN6",NA
"254","SLC6A19","MED12L",NA
"255","GMNC","SP7",NA
"256","TRDN","MAS1L",NA
"257","RNASE11","DIRAS2",NA
"258","TEX13A","CFAP95",NA
"259","ATP5MG","ST8SIA5",NA
"260","PLEKHG4B","HMCN2",NA
"261","ADCY1","LINGO2",NA
"262","TPPP2","CFAP54",NA
"263","DUOXA2","LCE4A",NA
"264","FGF4","EWSAT1",NA
"265","RNASE3","SCN2B",NA
"266","PAX6","PCDHA11",NA
"267","OR52N1","CAVIN4",NA
"268","SLC39A12","PABPN1L",NA
"269","CATSPER4","IQCF5",NA
"270","GSDMC","CRHR1",NA
"271","SLC6A15","MOBP",NA
"272","CCN5","ANKUB1",NA
"273","GARIN1B","ATP2B2",NA
"274","C2orf73","WDR64",NA
"275","FOXJ1","KY",NA
"276","IQCF5","ACOT13",NA
"277","AMHR2","PIWIL3",NA
"278","GLYAT","RHAG",NA
"279","OR5H14","OR10A2",NA
