"","Canonical","NonCanonical","Atypical"
"177","TMEM89","GPR12",NA
"178","OR5P2","TFAP2D",NA
"179","CNTN2","GALP",NA
"180","PTK2B","SPMIP9",NA
"181","CRHR1","UNC45B",NA
"182","OR52B6","MCCD1",NA
"183","ESPNL","ZNRF4",NA
"184","HAT1","VSTM5",NA
"185","ZAP70","CACNA2D1",NA
"186","CHIT1","TCEA1",NA
"187","TMEM184C","PDLIM7",NA
"188","IFT122P3","CKS1B",NA
"189","SDHD","JPH2",NA
"190","JPH2","OR10P1",NA
"191","VCX2","ASIC3",NA
"192","HCG9","PCDHAC2",NA
"193","GJC2","DTX1",NA
"194","FSTL4","AMER2",NA
"195","CPA4","MAT2B",NA
"196","SPEM1","SNX7",NA
"197","MS4A4A","KMT5C",NA
"198","WSCD2","LENEP",NA
"199","OR4X2","GATA1",NA
"200","CSF3","NACA",NA
"201","PHYHD1","NPB",NA
"202","LOC155060","MICOS10",NA
"203","DOK3","NTN3",NA
"204","NANOS2","GPR142",NA
"205","OR7A5","FER1L6",NA
"206","ITPRID1","MGAT5B",NA
"207","SPMIP7","TMEM220",NA
"208","PFKFB1","PPP1CC",NA
"209","IRF5","TMEM132A",NA
"210","ECE2","ITGA2B",NA
"211","LOC654780","VWA7",NA
"212","HOXD10","HRH3",NA
"213","PKN2","KRT32",NA
"214","COL22A1","SPPL2C",NA
"215","MCHR1","OR4C3",NA
"216","PXT1","LINC00552",NA
"217","TMEM59","PFKFB1",NA
"218","TAS1R1","LOX",NA
"219","BMP10","MYOC",NA
"220","TGM4","KCNK4",NA
"221","OR10K1","KCND3",NA
"222","GALP","EVC",NA
"223","FYB2","HCCAT5",NA
"224","CCDC140","CHPF",NA
"225","CD177","OR51I1",NA
"226","SSTR3","DPP9",NA
"227","SSTR4","PPT1",NA
"228","PDLIM7","SLC26A5",NA
"229","CSF3R","IDH1",NA
"230","EIF2AK3","COX6A2",NA
"231","SLC22A25","KCNJ11",NA
"232","PRB1","CAMK2A",NA
"233","SPANXN2","RPL18A",NA
"234","DLX4","GFOD3P",NA
"235","SHBG","SDK1",NA
"236","RGS9","ST8SIA5",NA
"237","CNIH1","ACAP1",NA
"238","TBX10","IFNW1",NA
"239","RAPGEF3","RPS9",NA
"240","STH","CCR3",NA
"241","PPP1R1A","PDCD4",NA
"242","SPACA4","DLX4",NA
"243","AIF1L","LINC01205",NA
"244","SPIB","ALX4",NA
"245","MAGEC3","FAM167A",NA
"246","CIMAP1D","FLYWCH1",NA
"247","SGCD","LOC339059",NA
"248","FUT5","KCNMB1",NA
"249","GRID1","PRR35",NA
"250","LINC01205","CNTFR",NA
"251","TCEA2","PCDHGA9",NA
"252","ST8SIA5","SPRY3",NA
"253","LOX","RPS8",NA
"254","KRT81","TMPRSS6",NA
"255","LYSET","PABPN1L",NA
"256","SEZ6L","OR5P2",NA
"257","PGLYRP4","PTK2B",NA
"258","MAFIP","GPR151",NA
"259","CCDC116","EXOC3L2",NA
"260","HSPA8","CST2",NA
"261","SAXO4","TSSK2",NA
"262","CEBPE","DOC2B",NA
"263","PCDHGA9","SLC12A1",NA
"264","C1orf94","MRPL39",NA
"265","PANK3","SPANXN4",NA
"266","EVC","TMEM132E",NA
"267","SGCA","NPPA",NA
"268","SLC30A3","GALNT17",NA
"269","CAMK2A","CFHR2",NA
"270","DNAJB9","ASPDH",NA
"271","DENND1C","OR4B1",NA
"272","MEIOB","CCDC70",NA
"273","FER1L6","GARIN5B",NA
"274","ACRV1","DRAM2",NA
"275","SPINDOC","SPANXN2",NA
"276","KRT32","OR2T10",NA
"277","ADAM29","PKN2",NA
"278","CCR10","IGDCC3",NA
"279","CHRNA2","NUTM1",NA
"280","MGAT5B","MYBPH",NA
"281","G6PC2","TMEM198",NA
"282","CXCR1","CARD14",NA
"283","GALNT16","SEC1P",NA
"284","LINC00268","GNG3",NA
"285","SSBP1","SLC12A7",NA
"286","OR1M1","GARIN2",NA
"287","ZNF541","RGS6",NA
"288","ZBTB32","CHIT1",NA
"289","BCL10","HCFC1R1",NA
"290","ARRDC5","CYP11B2",NA
"291","OR2A14","WNT9B",NA
"292","CLPB","CCNG1",NA
"293","UNC45B","TMEM40",NA
"294","NXNL2","GRIA3",NA
"295","CRNN","FAM167B",NA
"296","SPATA31D3","OR4K13",NA
"297","RPL7","VPREB3",NA
"298","FIGN","HAT1",NA
"299","TAAR9","ACSM5",NA
"300","CACNG5","MAGEC3",NA
"301","KNDC1","SZT2",NA
"302","AMER2","NIPSNAP2",NA
"303","TMC3","TSHR",NA
"304","OTOS","CCM2L",NA
"305","ZP1","RIN1",NA
"306","TMED3","OR1N1",NA
"307","ZNF575","LINC00268",NA
"308","SUSD2","GPR31",NA
"309","SMC2","LOC155060",NA
"310","WDR97","ADIG",NA
"311","PDCD10","SHBG",NA
"312","LELP1","ATP6V0E1",NA
"313","NMUR1","NXPH4",NA
"314","FNDC5","CD101",NA
"315","UROC1","PRB1",NA
"316","NELL1","GDF7",NA
"317","SHF","HMX3",NA
"318","TMEM9B","TNFAIP6",NA
"319","OR13C4","CCR7",NA
"320","VWC2","PRCP",NA
"321","OR51I1","MRPL37",NA
"322","ELAVL3","CA7",NA
"323","BOC","OR14A16",NA
"324","ANKRD65","GRIP2",NA
"325","CPLX2","TBX6",NA
"326","AVPR1A","LYPD3",NA
"327","DNAI2","SEZ6L",NA
"328","GRIN2D","PPY2P",NA
"329","MRAP","GUCY2EP",NA
"330","LINC00466","HBZ",NA
"331","HSD17B11","CYP4A11",NA
"332","MROH5","PCDHA4",NA
"333","PCDHB17P","CSF3",NA
"334","NHSL2","HSD17B11",NA
"335","C15orf62","TYR",NA
"336","SLC4A5","CACNG5",NA
"337","FCN1","CLXN",NA
"338","SCN4A","KCNA2",NA
"339","KCNK4","SLC5A10",NA
"340","CCL22","CYB5A",NA
"341","PLEKHD1","CMC1",NA
"342","AGXT2","TSSK3",NA
"343","EBNA1BP2","WDR97",NA
"344","SLC26A1","ACRV1",NA
"345","SGO2","MYT1",NA
"346","G6PD","SPACA4",NA
"347","MRPL13","LCE3E",NA
"348","OR4B1","SCN4A",NA
"349","AHSG","GPR162",NA
"350","TCL1A","ZNF276",NA
"351","CAMKV","ADAM29",NA
"352","HIKESHI","HOXD10",NA
"353","OR52N1","OLFML1",NA
"354","PAX4","SEL1L2",NA
"355","KCNS2","MS4A15",NA
"356","SDK1","DGAT2L6",NA
"357","CBX8","COX6B2",NA
"358","OAZ1","C1orf94",NA
"359","OR2A25","IFT122P3",NA
"360","MANSC4","LHX1",NA
"361","MYBPH","MPPED1",NA
"362","MTNR1B","ZSWIM2",NA
"363","OR4K13","C1orf87",NA
"364","TDRG1","CRLF1",NA
"365","GPER1","COX4I2",NA
"366","LCE1F","AMHR2",NA
"367","LINC01565","CPNE4",NA
"368","ASIC3","TAF12",NA
"369","AMHR2","VCX2",NA
"370","PLPPR4","VPS37D",NA
"371","VSTM5","CASP14",NA
"372","GUCY2EP","FSTL4",NA
"373","CRX","RPL9",NA
"374","JAKMIP3","LINC00308",NA
"375","OR14A16","GJC2",NA
"376","RPS3A","KASH5",NA
"377","KCNF1","KNDC1",NA
"378","TFAP4","RPS3A",NA
"379","CST2","HOGA1",NA
"380","RPL18A","SSBP1",NA
"381","C16orf82","LYSET",NA
