"","Canonical","NonCanonical","Atypical"
"1","ATP5F1E","ATP5F1E","KDM6B"
"2","ARPIN","CCNK","VPS18"
"3","MAN2B2","RPL13A","CD86"
"4","RPL13A","USP19","LRRC2"
"5","H2AC21","ZNF746","PPP6R1"
"6","ZNF746","LCE1D","GPR179"
"7","RGS3","RPL39","KRT79"
"8","SNORD17","TYMP","GPR182"
"9","CARMIL1","H2BC15","OR52E8"
"10","MINPP1","RPL36A","DSG3"
"11","RPS21","RPL23","ZIC2"
"12","GFPT1","ARPC2","SPINK4"
"13","RPS18","DHX38","CSF3"
"14","SNORD15A","SHPRH","MMP3"
"15","RPL36A","CRKL","ZG16"
"16","RPL39","RPL38",NA
"17","RPL35A","RPL35A",NA
"18","TYMP","TNPO1",NA
"19","RPS20","SLC66A1",NA
"20","LCE1D","RPL31",NA
"21","RPL38","DYTN",NA
"22","RPL23","H2AC21",NA
"23","RPL31","PPP1R26",NA
"24","DPEP3","RPS18",NA
"25","SMC5","RPS5",NA
"26","RPL19","IWS1",NA
"27","RPS2","RPS20",NA
"28","RPL27","RGS3",NA
"29","SNORA2A","RPS2",NA
"30","ARFGEF3","RPL28",NA
"31","RPL37","SHISA4",NA
"32","RPS5","MCM9",NA
"33","LNPK","KATNIP",NA
"34","CYP2W1","RPL19",NA
"35","RPL12","RPL12",NA
"36","RPL37A","RPL27",NA
"37","PPP1R14A","ADAMTS7",NA
"38","H4C3","RPL36AL",NA
"39","SNORA23","ZFP91",NA
"40","SLC66A1","CARMIL1",NA
"41","H4C8","ARPIN",NA
"42","RPL23A","RPS25",NA
"43","RPL21","RPS21",NA
"44","RPS27","RPL32",NA
"45","HSP90AA1","RPL23A",NA
"46","RPL36AL","RPS11",NA
"47","RPL32","PTBP1",NA
"48","ADCY6","ACAP3",NA
"49","RPS25","RPLP2",NA
"50","RPL35","RPS27",NA
"51","ADAMTS7","ACTB",NA
"52","RPLP1","PPP1R14A",NA
"53","FUT6","DPEP3",NA
"54","SLC6A6","RPL37A",NA
"55","RPLP2","MAN2B2",NA
"56","RPS17","RPL24",NA
"57","UCP3","ADAT1",NA
"58","RPS28","SNORD17",NA
"59","H4C2","RPL37",NA
"60","H4C5","RPS28",NA
