"","Canonical","NonCanonical","Atypical"
"148","CCL19","ARSH","SLC9A2"
"149","SCNN1B","NOTCH1","CLEC10A"
"150","SAPCD2","SLC25A24","PDK4"
"151","FAM83D","WDR97","LPAR1"
"152","TINAGL1","ABHD17C","MMS22L"
"153","OSBPL6","NDUFB3","TMEM97"
"154","REEP4","ZNF22","PTGER2"
"155","SPNS2","GALE","ENPP2"
"156","TMIGD1","FGF8","SMIM14"
"157","H4C3","EPS8L1","PLAC8"
"158","IGFN1","NDUFAB1","AGO2"
"159","PMCH","SOX15","PTX3"
"160","PTPN21","TMEM131","IL16"
"161","ST6GALNAC6","NAA80","CHTF18"
"162","PLP2","SLC25A4","OSBPL3"
"163","ATP5MC3","MYPOP","SCML1"
"164","MRPS23","LSM6","TMEM100"
"165","OLA1","SELENOS","DHDDS"
"166","CDC6","GRIN2A","SMPD3"
"167","PLSCR4","COX7A2","ALKAL2"
"168","ITGAX","GFPT1","NOP2"
"169","OR51L1","LACTB","THEM6"
"170","ORC1","F2RL1","FABP2"
"171","NT5C1B","MRPL27","ZZEF1"
"172","KLRC3","SRD5A1","GSN"
"173","RAD51C","ATP5MC3","ACADVL"
"174","TEX11","HOXC4","SELP"
"175","ZNF514","LCE1F","HERPUD1"
"176","PRXL2A","DCK","CH25H"
"177","SLC29A1","COX11","CA4"
"178","GEMIN6","NMNAT1","SPRED1"
"179","PTGIS","SEL1L3","DNASE1L3"
"180","CLDN8","PADI1","GNA14"
"181","TRPM6","TMEM33","CASP7"
"182","MND1","SPOPL","SDS"
"183","PAFAH1B3","LHX3","LMO2"
"184","FYN","NDUFC1","IL32"
"185","DCUN1D5","COL9A2","REEP6"
"186","TREML1","LOC154761","RRP7A"
"187","TTPA","C12orf57","LNX1"
"188","GREM1","CRX","IKZF1"
"189","SLC30A10","VEGFA","MS4A12"
"190","ERCC6L","AP4B1","RAD54B"
"191","RRP7A","OLFM2","NXPE1"
"192","COPRS","ISCU","MPEG1"
"193","SIT1","TMEM184C","SLC52A1"
"194","RPL22L1","EVPL","PSMG4"
"195","AP1S1","DIPK1A","VIP"
"196","NIPSNAP3A","HOXC13","SLC2A13"
"197","CENPL","ARHGAP4","FGL2"
"198","CXCL13","ADI1","BCAR3"
"199","HIGD1A","ATP5F1C","SCNN1B"
"200","MRPL40","CA3","NTN4"
"201","RPS15","UQCR10","RORC"
"202","CCNB1","MAPK13","ADAMDEC1"
"203","ADHFE1","ANKRD65","ATAD5"
"204","LPAR1","BCL9L","CCL15"
"205","ARHGAP9","SCOC","RNF180"
"206","SNRPD1","TM6SF2","ZC3H18"
"207","FEN1","AKAP5","TICRR"
"208","NAP1L1","OR1K1","LYPD8"
"209","DISP2","PRB3","CSE1L"
"210","RNASEH2A","TOMM20","STRIP2"
"211","AHRR","CCL27","FAM162A"
"212","DHCR7","PLXNA3","CA12"
"213","BICC1","TLX1","SAPCD2"
"214","TRMT6","COX4I1","SCGB2A1"
"215","TIMM50","TPM1","MRGBP"
"216","JAML","RHOD","CEP152"
"217","PTGDS","MAST2","NRG1"
"218","KIF16B","TST","PITX1"
"219","BIRC5","PCIF1","PRRC2A"
"220","MRPL36","RAB14","PGM1"
"221","B3GNT7","PGGHG","LTB"
