"","Canonical","NonCanonical","Atypical"
"146","CLEC4F","MAP3K10","SPAM1"
"147","KLF14","SCUBE1","GALNT15"
"148","IQCN","KCNK16","TRPV3"
"149","LY6G6C","MAML1","BPESC1"
"150","CA6","RBFOX3","ZFP57"
"151","C1orf94","NELL1","PRDX5"
"152","TRIM46","CYP4F22","DBNDD1"
"153","LEFTY2","ACMSD","RHO"
"154","NPB","ELN","TIGIT"
"155","CACNG8","ACSM5","SPATA4"
"156","LCE1F","HTR3D","TAS2R39"
"157","A4GNT","PSD","TAS1R2"
"158","SEC1P","SHCBP1L","NFATC3"
"159","SCUBE1","PGM5","ADAMTS18"
"160","SAMD14","NINL","CAMK1G"
"161","FLACC1","GRIN2B","PRG4"
"162","RSPH6A","MAJIN","CIMIP2B"
"163","NFKBID","GALNT16","MPHOSPH8"
"164","PRCD","SP9","BPIFA4P"
"165","ARHGAP44","ULBP3","IL3"
"166","OR51G2","HEPHL1","LEFTY2"
"167","EFCC1","NLRP4","AWAT1"
"168","OMG","HEPN1","B3GAT1"
"169","SH3GL2","PRDM14","LCLAT1"
"170","OR8H2","PIK3CD","KATNIP"
"171","FEV","IQCN","LYL1"
"172","PGM5","PRKN","OPN5"
"173","C11orf21","RTN4RL2","KY"
"174","ITGA10","NYAP1","CNTNAP5"
"175","OR9A4","ZNF575","OR4D2"
"176","MAFIP","CRX","HEXIM1"
"177","UCP2","VSX1","RUBCNL"
"178","B4GALT1","DRD5","AKAP11"
"179","ARFRP1","HRH2","C6orf52"
"180","DENND1C","OR2W5P","PANK1"
"181","SPACA4","PGK2","PAK3"
"182","TMEM150B","SPACA4","C10orf55"
"183","PSD","GPR75","BTBD17"
"184","HSPA12A","H2AC21","CUL4A"
"185","RBM12B","BAIAP3","MIPEP"
"186","PEX5L","PPBPP2","PCDHA12"
"187","KCNK16","KY","PXT1"
"188","PRDM14","KLF14","CLSPN"
"189","AQP7","SPANXN4","OR5AK2"
"190","OR4A15","SCN10A","GTSF1L"
"191","TNFRSF13C","OR5AK2","PRKAB1"
"192","ATP13A5","CKMT1A","ODAPH"
"193","ELN","ELSPBP1","HEPN1"
"194","MMP21","SPMAP1","SPMIP10"
"195","NXNL2","TRPV3","E2F5"
"196","CRB2","AGBL1","DEFB125"
"197","NBPF22P","PKD1L2","RASA2"
"198","PRB1","CLRN1","SYNDIG1"
"199","CACNA1C","MRGPRE","FBXL3"
"200","SHISA2","OR8B4","OR4C6"
"201","TEAD2","APOBEC3H","KCNIP2"
"202","GRXCR2","C22orf15","ASB8"
"203","SLC22A20P","GPX6","ENTR1"
"204","CDH24","SPATA16","OSBPL6"
"205","PATE2","TEX55","FAM24A"
"206","PINLYP","SSTR2","KATNBL1"
"207","MAML1","PGAM5","FLJ33534"
"208","PRSS41","KCNJ6","OR8S1"
"209","SYN1","TMEM130","DEFB123"
"210","TAS1R1","FUT5","RBFOX3"
"211","CAGE1","PRR19","CRIPT"
"212","ISM2","SLC45A2","LRRC3B"
"213","MIOX","LINC02447","KRT79"
"214","TMEM105","RSPH6A","CYP4V2"
"215","SCAMP5","OR10H5","PRKN"
"216","HRH2","ASB15","APOBEC2"
"217","OR11A1","OR1S2","SOX12"
"218","OR8D1","OR4K2","TRIM46"
"219","H2AC21","CD99L2","CLEC4D"
"220","MCCD1","FLJ33534","STARD6"
"221","LINC02881","CCDC40","MC4R"
"222","HPCA","TNFRSF13C","GALP"
"223","WDR97","SPPL2C","KLK14"
"224","OR1S2","GNRH2","LNX2"
"225","WNT9B","TEAD2","RAB17"
"226","GPR162","OR8J1","SIRPA"
"227","STAC2","PRODH2","NR2E3"
"228","COX6A2","RBM12B","LINC00473"
"229","HTR6","SH3GL2","ZNF683"
"230","LHX3","GGN","BYSL"
"231","SEC14L4","ZDHHC19","CYP2C19"
"232","MAGEC3","ZNRF4","SF3B6"
"233","OR8B4","GPR162","SHISA4"
"234","C1orf105","SPATA4","OR1I1"
"235","PADI6","ODAPH","LAGE3"
"236","ULBP3","DYDC2","NTAQ1"
"237","ACMSD","APC2","SLIT2"
"238","SYDE1","LINC02881","DBX2"
"239","SHCBP1L","C12orf42","ARHGAP44"
"240","ALK","SLC26A5","PCID2"
"241","PPBPP2","NXNL2","SLC2A5"
"242","PKNOX2","PSG9","DLEU1"
"243","CD99L2","KLHL4","UBE2D1"
"244","GPATCH8","CDH6","TMEM30B"
"245","CUBN","NFKBID","CSMD1"
"246","AMHR2","TMEM129","SPRYD7"
"247","LBX2","PTPRN","COL2A1"
"248","ETV3L","ABCG8","BMP10"
"249","VWA5B2","UCP2","NINL"
