"","Canonical","NonCanonical","Atypical"
"1","LOC339059","LINC02447","PANK1"
"2","VSTM5","MLIP","DUSP5"
"3","LCE1A","TEKTL1","HBEGF"
"4","LINC01061","SEPTIN5","SLPI"
"5","WNT10B","MAP3K10","HOXB9"
"6","PAK3","PSG6","ARL14"
"7","FKBP9","ANKRD2","CPE"
"8","FKBP14","ZBTB6","PTGER4"
"9","EVPL","MYOZ1","PTPRD"
"10","PPP3R1","BMP8A","SELENBP1"
"11","CMPK1","DEFT1P","CHN2"
"12","PHPT1","FAM230B","CES1"
"13","TOMM20","GAMT","CLRN3"
"14","VEZF1","OR5H1","COL10A1"
"15","TMEM245","SCUBE1","TPD52L1"
"16","TMED3","MBD3L2","PI3"
"17","STT3B","PFN4","SFTA2"
"18","TMX1","WNT10B","SERPINB5"
"19","SEC62","VSX1","GPR15LG"
"20","SDHAP2","LCE1F","CEP15"
"21","ATP2A2","FAM186A","RBP2"
"22","RCN2","OSBP2","NMU"
"23","ADAM10","DLG5.AS1","SLC26A3"
"24","ZNF99","KRTAP5.8","ALDH1A1"
"25","SEC24C","ZNF710","QPCT"
"26","NUP133","PAK3","SPINK5"
"27","SYPL1","LOC339059","IL33"
"28","SLC39A6","PRR29","NOX1"
"29","JKAMP","LCE1A","ADH1A"
"30","INSIG2","PTPRS","HLA.C"
"31","CTDSPL2","CMTR2","GAL"
"32","PIGF","NFKBID","MEP1A"
"33","TMED2","TPSD1","LEFTY1"
"34","RBM7","SPEG","KRT6B"
"35","ACLY","GH1","ADH1C"
"36","MSH6","GPSM1","UCA1"
"37","YIPF1","GPBAR1","STYXL2"
"38","SFXN1","ADGRE2","CLDN8"
"39","P4HB","FBP2","CEACAM7"
"40","BLOC1S6","IQSEC2","MUC12"
"41","TMED7","LINC01061","CLCA4"
"42","BTBD10","GSTT4","REG3A"
"43","IRX5","ITIH4",NA
"44","RPL7L1","WDFY3.AS2",NA
"45","EIF2AK3","AHDC1",NA
"46","TMEM184C","VSTM5",NA
"47","RRM1","PPP3R1",NA
"48","TMEM33","MAPK1IP1L",NA
"49","PSMD11","TCHHL1",NA
"50","HNRNPD","CYP4F22",NA
"51","PLS3","ELN",NA
"52","AKIRIN1","IGLL1",NA
"53","NBAS","CREB1",NA
"54","TMEM101","CRHR1",NA
"55","PRSS8","TRIM48",NA
"56","TMCO3","TRBV9",NA
"57","TMX3","RBM7",NA
"58","TIMM23B","DENND1C",NA
"59","MAGT1","SPATA31H1",NA
"60","TVP23B","NUTM2F",NA
"61","FKBP11","PRR12",NA
"62","ALG8","LOXHD1",NA
"63","YKT6","LCE1D",NA
"64","ARL6IP1","VEZF1",NA
"65","BPNT2","FUT5",NA
"66","PSD3","VPS26A",NA
"67","MRPL44","MIOX",NA
"68","LDAF1","CACNG8",NA
"69","ACOT9","ADM2",NA
"70","DDX11","TYR",NA
"71","NSUN6","TMEM59L",NA
"72","GALNT10","ZNF99",NA
"73","SCOC","ASXL2",NA
"74","SSBP3","REG1CP",NA
"75","DENND10","NOTCH1",NA
"76","RCN1","SPMIP9",NA
"77","STEAP1","KIF9",NA
"78","KRTCAP3","GGN",NA
"79","TBC1D8B","RBM12B",NA
"80","MAGOH","TOMM20",NA
"81","MAT2A","RCN2",NA
"82","SLC25A46","LINC00268",NA
"83","OVOL2","LINC00598",NA
"84","SMCO4","SPAM1",NA
"85","NPIPB3","NUTM2A",NA
"86","COPS2","CAMKV",NA
"87","REL","SYPL1",NA
"88","MRRF","CHERP",NA
"89","IL2RG","NFIC",NA
"90","EEF1A1","TMX1",NA
"91","SLFN5","LPA",NA
"92","SNORA4","PLEKHM1P1",NA
"93","UNG","RHBG",NA
"94","PGM3","ANKS3",NA
"95","METTL2B","DNAJB13",NA
"96","MLXIPL","TMED3",NA
"97","ATP6AP2","H2BC11",NA
"98","TUBGCP4","FEV",NA
"99","POC1B.GALNT4","NIPA2",NA
"100","SRP9","EOLA1.DT",NA
"101","MANSC1","CSHL1",NA
"102","MRPS27","CISD1",NA
