"","Canonical","NonCanonical","Atypical"
"161","LEMD1",NA,"GAD1"
"162","CHGA",NA,"APOA2"
"163","SERPINB2",NA,"SLCO1B3"
"164","CD160",NA,"PSCA"
"165","KRT6C",NA,"OCA2"
"166","SLC22A3",NA,"PKIB"
"167","BTNL3",NA,"CCN6"
"168","ADTRP",NA,"ANGPTL1"
"169","KRT6B",NA,"REG1B"
"170","VSIG2",NA,"GUCA2A"
"171","CLDN2",NA,"FABP6"
"172","KLK15",NA,"HEPACAM2"
"173","AQP9",NA,"SLC35D3"
"174","CLDN1",NA,"CA9"
"175","ANGPTL1",NA,"LINC01996"
"176","CBY2",NA,"CST1"
"177","GLDN",NA,"MYOC"
"178","PLCXD3",NA,"XKR4"
"179","VSTM2A-OT1",NA,"SERPINA7"
"180","UGT2B11",NA,"NKX2-1"
"181","GREM2",NA,"DAO"
"182","KLK6",NA,"CDKN2B-AS1"
"183","ACSL6",NA,"LEMD1"
"184","ATP1A2",NA,"WDR72"
"185","SAA2",NA,"MMP7"
"186","HOXB8",NA,"CA1"
"187","CPB1",NA,"BEST2"
"188","STC2",NA,"KRT6C"
"189","CLCA4",NA,"KLK6"
"190","IGFL4",NA,"SST"
"191","XKR4",NA,"KRT6B"
"192","CWH43",NA,"CPA6"
"193","NKD1",NA,"DKK2"
"194","FABP2",NA,"CSF3"
"195","NAP1L6P",NA,"ZIC2"
"196","MAMDC2",NA,"CHI3L1"
"197","ABCA8",NA,"CPB1"
"198","RBM24",NA,"ATP1A2"
"199","ITLN1",NA,"RBMY1B"
"200","CXCL8",NA,"DSG3"
"201","PAH",NA,"ECRG4"
"202","EGFL6",NA,"SPINK5"
"203","FCGBP",NA,"WNT2"
"204","CCL23",NA,"MYOT"
"205","CLCA1",NA,"RFX6"
"206","CPA6",NA,"CKMT2"
"207","SAA4",NA,"ANGPTL7"
"208","HOXB13",NA,"FAM3B"
"209","HCN1",NA,"PURPL"
"210","PROK2",NA,"MAMDC2"
"211","CMTM2",NA,"IL11"
"212","COL8A1",NA,"KRT23"
"213","PCK1",NA,"CSF2"
"214","SST",NA,"STYXL2"
"215","CXCL11",NA,"ZG16"
"216","IGHA2",NA,"REG1A"
"217","DSG3",NA,"CHGA"
"218","DPEP1",NA,"TTR"
"219","MIR31HG",NA,"INHBA"
"220","LINC02418",NA,"GCG"
"221","AKR1B10",NA,"ELF5"
"222","NOL4",NA,"NEUROD1"
"223","SI",NA,"H19"
"224","IL24",NA,"INSL5"
"225","SOX11",NA,"TMIGD1"
"226","IL13",NA,"SLC30A10"
"227","CDH19",NA,"MRPL23-AS1"
"228","SLCO1B3",NA,"MMP3"
"229","FABP6",NA,"CLCA1"
"230","OGN",NA,"MTTP"
"231","MYOT",NA,"ITLN1"
"232","SLC5A8",NA,"SLC4A4"
"233","NXPE1",NA,"DPP10-AS1"
"234","SAA1",NA,"CLDN8"
"235","ZIC2",NA,"XIST"
"236","THBS2",NA,NA
"237","H19",NA,NA
"238","LOC285097",NA,NA
"239","OR8D4",NA,NA
"240","TPH1",NA,NA
"241","FDCSP",NA,NA
"242","RERGL",NA,NA
"243","DUOXA2",NA,NA
"244","SPINK4",NA,NA
"245","NKX2-2",NA,NA
"246","NXPE4",NA,NA
"247","KLK8",NA,NA
"248","PRAC1",NA,NA
"249","REG3G",NA,NA
"250","DPP10-AS1",NA,NA
"251","NOX4",NA,NA
"252","MMP13",NA,NA
"253","PRDM13",NA,NA
"254","STYXL2",NA,NA
"255","LINC00460",NA,NA
"256","NOTUM",NA,NA
"257","INSM1",NA,NA
"258","UGT2A3",NA,NA
"259","DLX6",NA,NA
"260","SFRP4",NA,NA
"261","KRT14",NA,NA
"262","REG3A",NA,NA
"263","MST1L",NA,NA
"264","CCN6",NA,NA
"265","FAM3B",NA,NA
"266","MGC32805",NA,NA
"267","KLK7",NA,NA
"268","SLC28A2",NA,NA
"269","KRT23",NA,NA
"270","REG1B",NA,NA
"271","REG1A",NA,NA
