"","Canonical","NonCanonical","Atypical"
"1","TMPRSS6","ACAP1","RASGRP1"
"2","ODAD1","MAP4K1","CAVIN3"
"3","STH","CTIF","ACAP1"
"4","GPR12","SPOCD1","ZBED2"
"5","KCNH4","CCR7","SCN9A"
"6","DOK3","FAM78A","HAPLN3"
"7","OR13C4","GYPC","LCP2"
"8","GPX6","RASAL3","CD86"
"9","SUSD2","HAPLN3","GBP5"
"10","NOS1","TTN","GNLY"
"11","CLIP3","STH","SRGN"
"12","EPHB6","EPHB6","IRF4"
"13","PRR29","RHOH","ABCA8"
"14","NMUR1","TXNDC12","BCL2A1"
"15","OR4B1","OR13C4","CXCL13"
"16","OR10A4","TSPAN6","IFNG"
"17","LOX","SCN9A","CXCL9"
"18","SPOCD1","SLAMF7","CCL2"
"19","LINC01205","HEY2","PLCB4"
"20","CRIP3","DTX1","IDO1"
"21","SEC14L4","ZBED2","HOPX"
"22","FAM167B","OR10A4","ALPK2"
"23","LOC339059","SLC11A1","GPR18"
"24","ZBTB32","ODAD1","FCGR3A"
"25","FBP2","TOGARAM2","POU2AF1"
"26","PKNOX2","SERPINE1","CXCL10"
"27","FSTL4","NOS1","S100A8"
"28","RUNDC3A","COL22A1","MZB1"
"29","TMEM130","LSP1","KYNU"
"30","PNPLA7","IL21R","TARP"
"31","AMELX","CLIP4","PTGS2"
"32","OR10K1","MMP25","MT2A"
"33","TSPOAP1","SLC16A1","EPB41L4A"
"34","LINGO1","VPREB3","VIP"
"35","SLC22A25","LINC01205","RGS1"
"36","GNG3","NEK2","SPON2"
"37","CACNG5","CAVIN3","ADAMTS4"
"38","GNRH2","ASIC3","ANTXR1"
"39","SPATA31H1","TMEM98","GJB4"
"40","ANKRD65","UNC45B","TNFAIP6"
"41","RHOH","TRAF3IP3","NNMT"
"42","NXPH4","IFFO1","CXCL6"
"43","HCG9","SDK1","TDO2"
"44","MGAT5B","OR4B1","CCL11"
"45","FCER2","SUSD2","SULF1"
"46","AGXT2","CD4","ADAMDEC1"
"47","OSBP2","CSF1R","IGHM"
"48","ASIC3","NIPSNAP2","KRT6A"
"49","CHIT1","NLRC4","PDPN"
"50","OR6B2","DOK3","SPP1"
"51","SEC1P","TMPRSS6","REG3G"
"52","ZNRF4","IL18BP","ASCL2"
"53","SLC38A3","HIVEP3","NR4A3"
"54","CCR7","IL4I1",NA
"55","KPNA7","HNRNPA1",NA
"56","HCCAT5","CMKLR1",NA
"57","SZT2","GPR12",NA
"58","SERPINE1","STAB2",NA
"59","CCT4","OR1F1",NA
"60","DTX1","SIGLEC1",NA
"61","TDRG1","TMEM198",NA
"62","OR1F1","PEAR1",NA
"63","GAS2L2","CLEC12A",NA
"64","CD22","ANGPT1",NA
"65","MATN1","OR2A14",NA
"66","CLXN","SIGLEC10",NA
"67","TSSK2","TNFRSF18",NA
"68","CUBN","GPR142",NA
"69","IL17B","CLIP3",NA
"70","PCDHGC5","SERBP1",NA
"71","KRTDAP","GRID1",NA
"72","FAM167A","HCG9",NA
"73","GRID1","SPPL2C",NA
"74","UNC45B","PKD1",NA
"75","OR2A14","LHX1",NA
"76","ATP1A2","RPL5",NA
